 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/197Re_in_he_90_co2_10.txt

 Ion = Rhenium      [75] , Mass = 196.9781 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhenium      [75] , Mass = 196.9781 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.432E-01  2.522E+00   28.08 um     4.71 um     3.27 um  
   1.10 keV   2.551E-01  2.653E+00   29.20 um     4.89 um     3.39 um  
   1.20 keV   2.664E-01  2.777E+00   30.28 um     5.06 um     3.51 um  
   1.30 keV   2.773E-01  2.896E+00   31.30 um     5.23 um     3.62 um  
   1.40 keV   2.878E-01  3.010E+00   32.29 um     5.39 um     3.73 um  
   1.50 keV   2.979E-01  3.119E+00   33.24 um     5.54 um     3.84 um  
   1.60 keV   3.077E-01  3.224E+00   34.16 um     5.69 um     3.94 um  
   1.70 keV   3.171E-01  3.325E+00   35.05 um     5.83 um     4.04 um  
   1.80 keV   3.263E-01  3.422E+00   35.92 um     5.97 um     4.13 um  
   2.00 keV   3.440E-01  3.608E+00   37.58 um     6.23 um     4.31 um  
   2.25 keV   3.648E-01  3.824E+00   39.54 um     6.54 um     4.53 um  
   2.50 keV   3.846E-01  4.026E+00   41.40 um     6.82 um     4.73 um  
   2.75 keV   4.033E-01  4.215E+00   43.17 um     7.09 um     4.92 um  
   3.00 keV   4.213E-01  4.394E+00   44.87 um     7.35 um     5.11 um  
   3.25 keV   4.385E-01  4.563E+00   46.50 um     7.60 um     5.28 um  
