 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/220Th_in_he_90_co2_10.txt

 Ion = Thorium      [90] , Mass = 220.0158 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thorium      [90] , Mass = 220.0158 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.614E-01  2.490E+00   28.90 um     4.60 um     3.19 um  
   1.10 keV   2.741E-01  2.624E+00   30.04 um     4.78 um     3.31 um  
   1.20 keV   2.863E-01  2.751E+00   31.12 um     4.95 um     3.43 um  
   1.30 keV   2.980E-01  2.872E+00   32.15 um     5.11 um     3.53 um  
   1.40 keV   3.092E-01  2.988E+00   33.14 um     5.26 um     3.64 um  
   1.50 keV   3.201E-01  3.100E+00   34.10 um     5.41 um     3.74 um  
   1.60 keV   3.306E-01  3.207E+00   35.02 um     5.55 um     3.84 um  
   1.70 keV   3.408E-01  3.311E+00   35.91 um     5.69 um     3.93 um  
   1.80 keV   3.507E-01  3.412E+00   36.78 um     5.82 um     4.02 um  
   2.00 keV   3.696E-01  3.603E+00   38.44 um     6.07 um     4.19 um  
   2.25 keV   3.920E-01  3.827E+00   40.40 um     6.37 um     4.40 um  
   2.50 keV   4.132E-01  4.037E+00   42.25 um     6.65 um     4.59 um  
   2.75 keV   4.334E-01  4.234E+00   44.01 um     6.91 um     4.77 um  
   3.00 keV   4.527E-01  4.421E+00   45.69 um     7.16 um     4.94 um  
   3.25 keV   4.712E-01  4.598E+00   47.31 um     7.40 um     5.11 um  
