 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/231U_in_he_90_co2_10.txt

 Ion = Uranium      [92] , Mass = 231.0363 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Uranium      [92] , Mass = 231.0363 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.893E-01  2.443E+00   29.21 um     4.50 um     3.12 um  
   1.10 keV   3.034E-01  2.574E+00   30.36 um     4.68 um     3.24 um  
   1.20 keV   3.169E-01  2.699E+00   31.45 um     4.85 um     3.35 um  
   1.30 keV   3.299E-01  2.819E+00   32.49 um     5.01 um     3.46 um  
   1.40 keV   3.423E-01  2.934E+00   33.49 um     5.16 um     3.56 um  
   1.50 keV   3.544E-01  3.045E+00   34.46 um     5.30 um     3.66 um  
   1.60 keV   3.660E-01  3.151E+00   35.39 um     5.44 um     3.75 um  
   1.70 keV   3.772E-01  3.254E+00   36.29 um     5.58 um     3.85 um  
   1.80 keV   3.882E-01  3.353E+00   37.16 um     5.71 um     3.93 um  
   2.00 keV   4.092E-01  3.543E+00   38.83 um     5.96 um     4.10 um  
   2.25 keV   4.340E-01  3.765E+00   40.81 um     6.25 um     4.30 um  
   2.50 keV   4.575E-01  3.973E+00   42.67 um     6.52 um     4.49 um  
   2.75 keV   4.798E-01  4.168E+00   44.44 um     6.78 um     4.67 um  
   3.00 keV   5.011E-01  4.354E+00   46.14 um     7.03 um     4.84 um  
   3.25 keV   5.216E-01  4.529E+00   47.77 um     7.26 um     5.00 um  
