 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/238Pa_in_he_90_co2_10.txt

 Ion = Proactinium  [91] , Mass = 238.0546 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Proactinium  [91] , Mass = 238.0546 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.617E-01  2.401E+00   30.11 um     4.60 um     3.19 um  
   1.10 keV   2.744E-01  2.531E+00   31.28 um     4.78 um     3.31 um  
   1.20 keV   2.866E-01  2.654E+00   32.40 um     4.95 um     3.43 um  
   1.30 keV   2.983E-01  2.772E+00   33.47 um     5.12 um     3.54 um  
   1.40 keV   3.096E-01  2.885E+00   34.50 um     5.27 um     3.64 um  
   1.50 keV   3.205E-01  2.994E+00   35.49 um     5.42 um     3.74 um  
   1.60 keV   3.310E-01  3.099E+00   36.44 um     5.56 um     3.83 um  
   1.70 keV   3.412E-01  3.200E+00   37.36 um     5.70 um     3.93 um  
   1.80 keV   3.511E-01  3.298E+00   38.26 um     5.83 um     4.02 um  
   2.00 keV   3.700E-01  3.485E+00   39.98 um     6.08 um     4.19 um  
   2.25 keV   3.925E-01  3.703E+00   42.00 um     6.38 um     4.39 um  
   2.50 keV   4.137E-01  3.908E+00   43.92 um     6.66 um     4.58 um  
   2.75 keV   4.339E-01  4.101E+00   45.73 um     6.92 um     4.76 um  
   3.00 keV   4.532E-01  4.284E+00   47.47 um     7.17 um     4.94 um  
   3.25 keV   4.717E-01  4.457E+00   49.14 um     7.41 um     5.10 um  
