 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/44S_in_he_90_co2_10.txt

 Ion = Sulfur       [16] , Mass = 43.99012 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 43.99012 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.603E-01  2.298E+00   20.72 um     6.04 um     4.54 um  
   1.10 keV   1.682E-01  2.367E+00   21.88 um     6.33 um     4.77 um  
   1.20 keV   1.756E-01  2.431E+00   23.01 um     6.61 um     5.00 um  
   1.30 keV   1.828E-01  2.489E+00   24.11 um     6.88 um     5.22 um  
   1.40 keV   1.897E-01  2.543E+00   25.18 um     7.14 um     5.43 um  
   1.50 keV   1.964E-01  2.592E+00   26.24 um     7.39 um     5.64 um  
   1.60 keV   2.028E-01  2.639E+00   27.28 um     7.64 um     5.84 um  
   1.70 keV   2.091E-01  2.682E+00   28.30 um     7.88 um     6.04 um  
   1.80 keV   2.151E-01  2.723E+00   29.30 um     8.12 um     6.24 um  
   2.00 keV   2.268E-01  2.797E+00   31.27 um     8.58 um     6.62 um  
   2.25 keV   2.405E-01  2.878E+00   33.66 um     9.13 um     7.08 um  
   2.50 keV   2.535E-01  2.949E+00   35.99 um     9.67 um     7.52 um  
   2.75 keV   2.659E-01  3.012E+00   38.26 um    10.18 um     7.95 um  
   3.00 keV   2.777E-01  3.067E+00   40.49 um    10.69 um     8.37 um  
   3.25 keV   2.891E-01  3.117E+00   42.69 um    11.18 um     8.78 um  
