 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/56V_in_he_90_co2_10.txt

 Ion = Vanadium     [23] , Mass = 55.95042 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Vanadium     [23] , Mass = 55.95042 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.724E-01  2.631E+00   20.04 um     5.50 um     4.05 um  
   1.10 keV   1.808E-01  2.725E+00   21.07 um     5.75 um     4.25 um  
   1.20 keV   1.888E-01  2.811E+00   22.07 um     5.98 um     4.44 um  
   1.30 keV   1.966E-01  2.891E+00   23.04 um     6.21 um     4.62 um  
   1.40 keV   2.040E-01  2.966E+00   23.99 um     6.43 um     4.79 um  
   1.50 keV   2.111E-01  3.037E+00   24.91 um     6.64 um     4.96 um  
   1.60 keV   2.181E-01  3.103E+00   25.81 um     6.84 um     5.13 um  
   1.70 keV   2.248E-01  3.165E+00   26.70 um     7.04 um     5.29 um  
   1.80 keV   2.313E-01  3.224E+00   27.57 um     7.23 um     5.45 um  
   2.00 keV   2.438E-01  3.332E+00   29.26 um     7.61 um     5.76 um  
   2.25 keV   2.586E-01  3.454E+00   31.30 um     8.06 um     6.13 um  
   2.50 keV   2.726E-01  3.563E+00   33.28 um     8.49 um     6.49 um  
   2.75 keV   2.859E-01  3.661E+00   35.20 um     8.90 um     6.83 um  
   3.00 keV   2.986E-01  3.749E+00   37.07 um     9.30 um     7.17 um  
   3.25 keV   3.108E-01  3.830E+00   38.90 um     9.68 um     7.49 um  
