 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/65Br_in_he_90_co2_10.txt

 Ion = Bromine      [35] , Mass = 64.9823 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bromine      [35] , Mass = 64.9823 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.173E-01  3.020E+00   19.34 um     5.23 um     3.79 um  
   1.10 keV   1.230E-01  3.142E+00   20.26 um     5.46 um     3.96 um  
   1.20 keV   1.284E-01  3.256E+00   21.16 um     5.67 um     4.12 um  
   1.30 keV   1.337E-01  3.362E+00   22.02 um     5.87 um     4.28 um  
   1.40 keV   1.387E-01  3.462E+00   22.85 um     6.06 um     4.43 um  
   1.50 keV   1.436E-01  3.557E+00   23.67 um     6.25 um     4.58 um  
   1.60 keV   1.483E-01  3.646E+00   24.46 um     6.43 um     4.72 um  
   1.70 keV   1.529E-01  3.731E+00   25.24 um     6.61 um     4.86 um  
   1.80 keV   1.573E-01  3.812E+00   26.00 um     6.78 um     5.00 um  
   2.00 keV   1.658E-01  3.963E+00   27.47 um     7.11 um     5.26 um  
   2.25 keV   1.759E-01  4.134E+00   29.24 um     7.50 um     5.58 um  
   2.50 keV   1.854E-01  4.289E+00   30.94 um     7.87 um     5.88 um  
   2.75 keV   1.944E-01  4.430E+00   32.59 um     8.23 um     6.17 um  
   3.00 keV   2.031E-01  4.561E+00   34.19 um     8.57 um     6.45 um  
   3.25 keV   2.114E-01  4.681E+00   35.74 um     8.90 um     6.72 um  
