 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/94Nb_in_he_90_co2_10.txt

 Ion = Niobium      [41] , Mass = 93.90728 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Niobium      [41] , Mass = 93.90728 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.148E-01  2.869E+00   22.24 um     5.22 um     3.72 um  
   1.10 keV   1.204E-01  2.995E+00   23.24 um     5.43 um     3.88 um  
   1.20 keV   1.257E-01  3.113E+00   24.20 um     5.63 um     4.03 um  
   1.30 keV   1.308E-01  3.225E+00   25.13 um     5.82 um     4.17 um  
   1.40 keV   1.358E-01  3.330E+00   26.02 um     6.01 um     4.31 um  
   1.50 keV   1.406E-01  3.430E+00   26.89 um     6.19 um     4.45 um  
   1.60 keV   1.452E-01  3.525E+00   27.74 um     6.36 um     4.58 um  
   1.70 keV   1.496E-01  3.616E+00   28.56 um     6.53 um     4.71 um  
   1.80 keV   1.540E-01  3.703E+00   29.37 um     6.69 um     4.83 um  
   2.00 keV   1.623E-01  3.866E+00   30.92 um     7.00 um     5.07 um  
   2.25 keV   1.721E-01  4.053E+00   32.78 um     7.36 um     5.36 um  
   2.50 keV   1.815E-01  4.224E+00   34.56 um     7.71 um     5.63 um  
   2.75 keV   1.903E-01  4.382E+00   36.27 um     8.04 um     5.89 um  
   3.00 keV   1.988E-01  4.528E+00   37.93 um     8.35 um     6.14 um  
   3.25 keV   2.069E-01  4.664E+00   39.53 um     8.65 um     6.39 um  
