 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/108Sn_in_kapton.txt

 Ion = Tin          [50] , Mass = 107.9119 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 107.9119 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.325E-01  2.699E+00      50 A        13 A         9 A   
   1.10 keV   1.390E-01  2.825E+00      52 A        13 A        10 A   
   1.20 keV   1.451E-01  2.945E+00      54 A        14 A        10 A   
   1.30 keV   1.511E-01  3.058E+00      56 A        14 A        10 A   
   1.40 keV   1.568E-01  3.165E+00      58 A        15 A        11 A   
   1.50 keV   1.623E-01  3.267E+00      60 A        15 A        11 A   
   1.60 keV   1.676E-01  3.365E+00      62 A        16 A        11 A   
   1.70 keV   1.727E-01  3.458E+00      64 A        16 A        12 A   
   1.80 keV   1.777E-01  3.548E+00      65 A        17 A        12 A   
   2.00 keV   1.874E-01  3.717E+00      69 A        17 A        12 A   
   2.25 keV   1.987E-01  3.912E+00      73 A        18 A        13 A   
   2.50 keV   2.095E-01  4.092E+00      76 A        19 A        14 A   
   2.75 keV   2.197E-01  4.259E+00      80 A        20 A        14 A   
   3.00 keV   2.295E-01  4.415E+00      83 A        20 A        15 A   
   3.25 keV   2.388E-01  4.561E+00      87 A        21 A        15 A   
   3.50 keV   2.479E-01  4.698E+00      90 A        22 A        16 A   
   3.75 keV   2.566E-01  4.828E+00      93 A        23 A        16 A   
