 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/110Tc_in_kapton.txt

 Ion = Technetium   [43] , Mass = 109.9237 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Technetium   [43] , Mass = 109.9237 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.230E-01  2.560E+00      52 A        13 A         9 A   
   1.10 keV   1.290E-01  2.677E+00      55 A        14 A        10 A   
   1.20 keV   1.348E-01  2.788E+00      57 A        14 A        10 A   
   1.30 keV   1.403E-01  2.892E+00      59 A        15 A        11 A   
   1.40 keV   1.456E-01  2.992E+00      61 A        15 A        11 A   
   1.50 keV   1.507E-01  3.086E+00      63 A        16 A        11 A   
   1.60 keV   1.556E-01  3.176E+00      65 A        16 A        12 A   
   1.70 keV   1.604E-01  3.262E+00      67 A        17 A        12 A   
   1.80 keV   1.651E-01  3.345E+00      69 A        17 A        12 A   
   2.00 keV   1.740E-01  3.500E+00      72 A        18 A        13 A   
   2.25 keV   1.846E-01  3.679E+00      76 A        19 A        14 A   
   2.50 keV   1.945E-01  3.844E+00      80 A        20 A        14 A   
   2.75 keV   2.040E-01  3.996E+00      84 A        20 A        15 A   
   3.00 keV   2.131E-01  4.138E+00      88 A        21 A        15 A   
   3.25 keV   2.218E-01  4.270E+00      92 A        22 A        16 A   
   3.50 keV   2.302E-01  4.395E+00      95 A        23 A        17 A   
   3.75 keV   2.383E-01  4.512E+00      98 A        23 A        17 A   
