 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/112Rh_in_kapton.txt

 Ion = Rhodium      [45] , Mass = 111.9144 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 111.9144 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.240E-01  2.581E+00      52 A        13 A         9 A   
   1.10 keV   1.301E-01  2.701E+00      55 A        14 A        10 A   
   1.20 keV   1.358E-01  2.814E+00      57 A        14 A        10 A   
   1.30 keV   1.414E-01  2.920E+00      59 A        15 A        11 A   
   1.40 keV   1.467E-01  3.021E+00      61 A        15 A        11 A   
   1.50 keV   1.519E-01  3.118E+00      63 A        16 A        11 A   
   1.60 keV   1.569E-01  3.209E+00      65 A        16 A        12 A   
   1.70 keV   1.617E-01  3.297E+00      67 A        17 A        12 A   
   1.80 keV   1.664E-01  3.382E+00      68 A        17 A        12 A   
   2.00 keV   1.754E-01  3.541E+00      72 A        18 A        13 A   
   2.25 keV   1.860E-01  3.724E+00      76 A        19 A        13 A   
   2.50 keV   1.961E-01  3.893E+00      80 A        19 A        14 A   
   2.75 keV   2.056E-01  4.049E+00      84 A        20 A        15 A   
   3.00 keV   2.148E-01  4.194E+00      88 A        21 A        15 A   
   3.25 keV   2.235E-01  4.331E+00      91 A        22 A        16 A   
   3.50 keV   2.320E-01  4.459E+00      95 A        22 A        16 A   
   3.75 keV   2.401E-01  4.580E+00      98 A        23 A        17 A   
