 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/122Ce_in_kapton.txt

 Ion = Cerium       [58] , Mass = 121.9379 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cerium       [58] , Mass = 121.9379 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.236E-01  2.702E+00      52 A        13 A         9 A   
   1.10 keV   1.297E-01  2.833E+00      54 A        13 A         9 A   
   1.20 keV   1.354E-01  2.957E+00      56 A        14 A        10 A   
   1.30 keV   1.410E-01  3.074E+00      58 A        14 A        10 A   
   1.40 keV   1.463E-01  3.186E+00      60 A        15 A        10 A   
   1.50 keV   1.514E-01  3.293E+00      62 A        15 A        11 A   
   1.60 keV   1.564E-01  3.396E+00      64 A        16 A        11 A   
   1.70 keV   1.612E-01  3.494E+00      66 A        16 A        11 A   
   1.80 keV   1.659E-01  3.588E+00      68 A        16 A        12 A   
   2.00 keV   1.748E-01  3.767E+00      71 A        17 A        12 A   
   2.25 keV   1.855E-01  3.974E+00      75 A        18 A        13 A   
   2.50 keV   1.955E-01  4.165E+00      78 A        19 A        13 A   
   2.75 keV   2.050E-01  4.343E+00      82 A        19 A        14 A   
   3.00 keV   2.141E-01  4.510E+00      85 A        20 A        14 A   
   3.25 keV   2.229E-01  4.667E+00      89 A        21 A        15 A   
   3.50 keV   2.313E-01  4.815E+00      92 A        22 A        16 A   
   3.75 keV   2.394E-01  4.955E+00      95 A        22 A        16 A   
