 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/186Hf_in_kapton.txt

 Ion = Hafnium      [72] , Mass = 185.9609 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hafnium      [72] , Mass = 185.9609 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.916E-01  2.413E+00      59 A        11 A         8 A   
   1.10 keV   3.059E-01  2.538E+00      61 A        12 A         8 A   
   1.20 keV   3.195E-01  2.657E+00      63 A        12 A         9 A   
   1.30 keV   3.325E-01  2.771E+00      65 A        13 A         9 A   
   1.40 keV   3.451E-01  2.879E+00      67 A        13 A         9 A   
   1.50 keV   3.572E-01  2.983E+00      69 A        14 A         9 A   
   1.60 keV   3.689E-01  3.083E+00      71 A        14 A        10 A   
   1.70 keV   3.803E-01  3.180E+00      73 A        14 A        10 A   
   1.80 keV   3.913E-01  3.273E+00      75 A        15 A        10 A   
   2.00 keV   4.124E-01  3.450E+00      79 A        15 A        11 A   
   2.25 keV   4.375E-01  3.656E+00      83 A        16 A        11 A   
   2.50 keV   4.611E-01  3.848E+00      87 A        17 A        12 A   
   2.75 keV   4.836E-01  4.029E+00      90 A        17 A        12 A   
   3.00 keV   5.051E-01  4.199E+00      94 A        18 A        13 A   
   3.25 keV   5.258E-01  4.360E+00      97 A        19 A        13 A   
   3.50 keV   5.456E-01  4.513E+00     101 A        19 A        13 A   
   3.75 keV   5.648E-01  4.659E+00     104 A        20 A        14 A   
