 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/186Pb_in_kapton.txt

 Ion = Lead         [82] , Mass = 185.9842 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lead         [82] , Mass = 185.9842 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.432E-01  2.488E+00      56 A        11 A         8 A   
   1.10 keV   3.600E-01  2.619E+00      59 A        11 A         8 A   
   1.20 keV   3.760E-01  2.743E+00      61 A        12 A         8 A   
   1.30 keV   3.914E-01  2.862E+00      63 A        12 A         8 A   
   1.40 keV   4.061E-01  2.976E+00      65 A        13 A         9 A   
   1.50 keV   4.204E-01  3.085E+00      67 A        13 A         9 A   
   1.60 keV   4.342E-01  3.190E+00      69 A        13 A         9 A   
   1.70 keV   4.475E-01  3.292E+00      70 A        14 A         9 A   
   1.80 keV   4.605E-01  3.389E+00      72 A        14 A        10 A   
   2.00 keV   4.854E-01  3.576E+00      75 A        14 A        10 A   
   2.25 keV   5.149E-01  3.794E+00      79 A        15 A        11 A   
   2.50 keV   5.427E-01  3.997E+00      83 A        16 A        11 A   
   2.75 keV   5.692E-01  4.188E+00      87 A        17 A        11 A   
   3.00 keV   5.945E-01  4.368E+00      90 A        17 A        12 A   
   3.25 keV   6.188E-01  4.539E+00      93 A        18 A        12 A   
   3.50 keV   6.421E-01  4.702E+00      96 A        18 A        13 A   
   3.75 keV   6.647E-01  4.857E+00      99 A        19 A        13 A   
