 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/224Bi_in_kapton.txt

 Ion = Bismuth      [83] , Mass = 224.0398 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Bismuth      [83] , Mass = 224.0398 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.348E-01  2.291E+00      62 A        11 A         8 A   
   1.10 keV   3.511E-01  2.414E+00      65 A        11 A         8 A   
   1.20 keV   3.667E-01  2.531E+00      67 A        12 A         8 A   
   1.30 keV   3.817E-01  2.642E+00      69 A        12 A         8 A   
   1.40 keV   3.961E-01  2.749E+00      71 A        13 A         9 A   
   1.50 keV   4.100E-01  2.852E+00      73 A        13 A         9 A   
   1.60 keV   4.235E-01  2.951E+00      75 A        13 A         9 A   
   1.70 keV   4.365E-01  3.046E+00      77 A        14 A         9 A   
   1.80 keV   4.491E-01  3.139E+00      79 A        14 A        10 A   
   2.00 keV   4.734E-01  3.315E+00      83 A        15 A        10 A   
   2.25 keV   5.022E-01  3.521E+00      87 A        15 A        11 A   
   2.50 keV   5.293E-01  3.714E+00      91 A        16 A        11 A   
   2.75 keV   5.552E-01  3.896E+00      95 A        17 A        11 A   
   3.00 keV   5.798E-01  4.067E+00      99 A        17 A        12 A   
   3.25 keV   6.035E-01  4.230E+00     102 A        18 A        12 A   
   3.50 keV   6.263E-01  4.385E+00     105 A        18 A        13 A   
   3.75 keV   6.483E-01  4.534E+00     109 A        19 A        13 A   
