 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/35S_in_kapton.txt

 Ion = Sulfur       [16] , Mass = 34.96903 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 34.96903 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.284E-01  2.060E+00      42 A        16 A        12 A   
   1.10 keV   2.396E-01  2.122E+00      45 A        17 A        12 A   
   1.20 keV   2.502E-01  2.178E+00      47 A        17 A        13 A   
   1.30 keV   2.604E-01  2.230E+00      49 A        18 A        14 A   
   1.40 keV   2.703E-01  2.278E+00      51 A        19 A        14 A   
   1.50 keV   2.797E-01  2.322E+00      54 A        19 A        15 A   
   1.60 keV   2.889E-01  2.364E+00      56 A        20 A        15 A   
   1.70 keV   2.978E-01  2.402E+00      58 A        21 A        16 A   
   1.80 keV   3.064E-01  2.438E+00      60 A        21 A        16 A   
   2.00 keV   3.230E-01  2.504E+00      64 A        23 A        17 A   
   2.25 keV   3.426E-01  2.576E+00      69 A        24 A        18 A   
   2.50 keV   3.611E-01  2.639E+00      74 A        25 A        20 A   
   2.75 keV   3.788E-01  2.695E+00      79 A        27 A        21 A   
   3.00 keV   3.956E-01  2.744E+00      83 A        28 A        22 A   
   3.25 keV   4.118E-01  2.788E+00      88 A        29 A        23 A   
   3.50 keV   4.273E-01  2.828E+00      92 A        31 A        24 A   
   3.75 keV   4.423E-01  2.864E+00      97 A        32 A        25 A   
