 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/54Fe_in_kapton.txt

 Ion = Iron         [26] , Mass = 53.93961 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iron         [26] , Mass = 53.93961 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.542E-01  2.517E+00      43 A        14 A        10 A   
   1.10 keV   1.617E-01  2.611E+00      45 A        15 A        11 A   
   1.20 keV   1.689E-01  2.699E+00      47 A        15 A        11 A   
   1.30 keV   1.758E-01  2.781E+00      49 A        16 A        12 A   
   1.40 keV   1.825E-01  2.857E+00      51 A        16 A        12 A   
   1.50 keV   1.889E-01  2.929E+00      53 A        17 A        13 A   
   1.60 keV   1.951E-01  2.997E+00      55 A        18 A        13 A   
   1.70 keV   2.011E-01  3.061E+00      56 A        18 A        13 A   
   1.80 keV   2.069E-01  3.122E+00      58 A        19 A        14 A   
   2.00 keV   2.181E-01  3.235E+00      62 A        19 A        15 A   
   2.25 keV   2.313E-01  3.362E+00      66 A        21 A        16 A   
   2.50 keV   2.438E-01  3.476E+00      70 A        22 A        16 A   
   2.75 keV   2.557E-01  3.579E+00      74 A        23 A        17 A   
   3.00 keV   2.671E-01  3.674E+00      78 A        24 A        18 A   
   3.25 keV   2.780E-01  3.760E+00      81 A        25 A        19 A   
   3.50 keV   2.885E-01  3.840E+00      85 A        26 A        20 A   
   3.75 keV   2.986E-01  3.914E+00      89 A        26 A        20 A   
