 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/55V_in_kapton.txt

 Ion = Vanadium     [23] , Mass = 54.94726 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Vanadium     [23] , Mass = 54.94726 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.209E-01  2.382E+00      44 A        14 A        10 A   
   1.10 keV   2.317E-01  2.469E+00      46 A        15 A        11 A   
   1.20 keV   2.420E-01  2.550E+00      48 A        15 A        11 A   
   1.30 keV   2.519E-01  2.625E+00      50 A        16 A        12 A   
   1.40 keV   2.614E-01  2.695E+00      52 A        16 A        12 A   
   1.50 keV   2.706E-01  2.761E+00      54 A        17 A        13 A   
   1.60 keV   2.795E-01  2.823E+00      56 A        17 A        13 A   
   1.70 keV   2.881E-01  2.881E+00      58 A        18 A        13 A   
   1.80 keV   2.964E-01  2.937E+00      60 A        18 A        14 A   
   2.00 keV   3.125E-01  3.039E+00      63 A        19 A        15 A   
   2.25 keV   3.314E-01  3.154E+00      68 A        20 A        16 A   
   2.50 keV   3.493E-01  3.258E+00      72 A        22 A        16 A   
   2.75 keV   3.664E-01  3.351E+00      76 A        23 A        17 A   
   3.00 keV   3.827E-01  3.436E+00      80 A        24 A        18 A   
   3.25 keV   3.983E-01  3.513E+00      84 A        24 A        19 A   
   3.50 keV   4.134E-01  3.585E+00      88 A        25 A        20 A   
   3.75 keV   4.279E-01  3.651E+00      92 A        26 A        20 A   
