 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/61Ti_in_kapton.txt

 Ion = Titanium     [22] , Mass = 60.98243 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Titanium     [22] , Mass = 60.98243 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.476E-01  2.302E+00      47 A        15 A        11 A   
   1.10 keV   1.548E-01  2.386E+00      49 A        15 A        11 A   
   1.20 keV   1.617E-01  2.465E+00      52 A        16 A        12 A   
   1.30 keV   1.683E-01  2.538E+00      54 A        16 A        12 A   
   1.40 keV   1.746E-01  2.606E+00      56 A        17 A        13 A   
   1.50 keV   1.808E-01  2.671E+00      58 A        18 A        13 A   
   1.60 keV   1.867E-01  2.731E+00      60 A        18 A        14 A   
   1.70 keV   1.924E-01  2.788E+00      62 A        19 A        14 A   
   1.80 keV   1.980E-01  2.842E+00      64 A        19 A        14 A   
   2.00 keV   2.087E-01  2.943E+00      68 A        20 A        15 A   
   2.25 keV   2.214E-01  3.055E+00      73 A        21 A        16 A   
   2.50 keV   2.334E-01  3.156E+00      78 A        22 A        17 A   
   2.75 keV   2.448E-01  3.248E+00      82 A        23 A        18 A   
   3.00 keV   2.556E-01  3.331E+00      86 A        25 A        19 A   
   3.25 keV   2.661E-01  3.407E+00      91 A        25 A        20 A   
   3.50 keV   2.761E-01  3.477E+00      95 A        26 A        20 A   
   3.75 keV   2.858E-01  3.542E+00      99 A        27 A        21 A   
