 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/99Pd_in_kapton.txt

 Ion = Palladium    [46] , Mass = 98.91177 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 98.91177 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.444E-01  2.705E+00      49 A        13 A         9 A   
   1.10 keV   1.515E-01  2.829E+00      51 A        14 A        10 A   
   1.20 keV   1.582E-01  2.945E+00      53 A        14 A        10 A   
   1.30 keV   1.647E-01  3.055E+00      55 A        14 A        10 A   
   1.40 keV   1.709E-01  3.160E+00      57 A        15 A        11 A   
   1.50 keV   1.769E-01  3.259E+00      58 A        15 A        11 A   
   1.60 keV   1.827E-01  3.354E+00      60 A        16 A        11 A   
   1.70 keV   1.883E-01  3.445E+00      62 A        16 A        12 A   
   1.80 keV   1.938E-01  3.532E+00      64 A        17 A        12 A   
   2.00 keV   2.043E-01  3.696E+00      67 A        17 A        13 A   
   2.25 keV   2.167E-01  3.884E+00      71 A        18 A        13 A   
   2.50 keV   2.284E-01  4.057E+00      75 A        19 A        14 A   
   2.75 keV   2.395E-01  4.217E+00      78 A        20 A        14 A   
   3.00 keV   2.502E-01  4.366E+00      82 A        21 A        15 A   
   3.25 keV   2.604E-01  4.506E+00      85 A        21 A        16 A   
   3.50 keV   2.702E-01  4.637E+00      88 A        22 A        16 A   
   3.75 keV   2.797E-01  4.760E+00      92 A        23 A        17 A   
