 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/103Tc_in_mo.txt

 Ion = Technetium   [43] , Mass = 102.9092 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Technetium   [43] , Mass = 102.9092 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.558E-02  7.997E-01      13 A        10 A         7 A   
   1.10 keV   3.731E-02  8.389E-01      13 A        10 A         7 A   
   1.20 keV   3.897E-02  8.760E-01      14 A        10 A         7 A   
   1.30 keV   4.056E-02  9.112E-01      15 A        11 A         8 A   
   1.40 keV   4.209E-02  9.447E-01      15 A        11 A         8 A   
   1.50 keV   4.357E-02  9.768E-01      16 A        11 A         8 A   
   1.60 keV   4.500E-02  1.007E+00      16 A        12 A         8 A   
   1.70 keV   4.638E-02  1.037E+00      16 A        12 A         9 A   
   1.80 keV   4.773E-02  1.065E+00      17 A        12 A         9 A   
   2.00 keV   5.031E-02  1.119E+00      18 A        13 A         9 A   
   2.25 keV   5.336E-02  1.181E+00      19 A        13 A        10 A   
   2.50 keV   5.625E-02  1.239E+00      20 A        14 A        10 A   
   2.75 keV   5.899E-02  1.292E+00      21 A        15 A        11 A   
   3.00 keV   6.162E-02  1.343E+00      22 A        15 A        11 A   
   3.25 keV   6.413E-02  1.390E+00      23 A        16 A        11 A   
   3.50 keV   6.655E-02  1.435E+00      24 A        16 A        12 A   
   3.75 keV   6.889E-02  1.477E+00      25 A        17 A        12 A   
   4.00 keV   7.115E-02  1.518E+00      25 A        17 A        12 A   
   4.50 keV   7.547E-02  1.593E+00      27 A        18 A        13 A   
