 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/118Mo_in_mo.txt

 Ion = Molybdenum   [42] , Mass = 117.9652 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Molybdenum   [42] , Mass = 117.9652 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.347E-02  8.151E-01      14 A         9 A         7 A   
   1.10 keV   3.510E-02  8.553E-01      14 A        10 A         7 A   
   1.20 keV   3.667E-02  8.933E-01      15 A        10 A         7 A   
   1.30 keV   3.816E-02  9.294E-01      15 A        11 A         8 A   
   1.40 keV   3.960E-02  9.638E-01      16 A        11 A         8 A   
   1.50 keV   4.099E-02  9.967E-01      16 A        11 A         8 A   
   1.60 keV   4.234E-02  1.028E+00      17 A        12 A         8 A   
   1.70 keV   4.364E-02  1.058E+00      17 A        12 A         8 A   
   1.80 keV   4.491E-02  1.088E+00      18 A        12 A         9 A   
   2.00 keV   4.734E-02  1.143E+00      19 A        13 A         9 A   
   2.25 keV   5.021E-02  1.207E+00      20 A        13 A        10 A   
   2.50 keV   5.292E-02  1.266E+00      21 A        14 A        10 A   
   2.75 keV   5.551E-02  1.321E+00      22 A        15 A        10 A   
   3.00 keV   5.797E-02  1.373E+00      23 A        15 A        11 A   
   3.25 keV   6.034E-02  1.422E+00      24 A        16 A        11 A   
   3.50 keV   6.262E-02  1.468E+00      25 A        16 A        12 A   
   3.75 keV   6.482E-02  1.512E+00      26 A        17 A        12 A   
   4.00 keV   6.694E-02  1.553E+00      27 A        17 A        12 A   
