 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/126I_in_mo.txt

 Ion = Iodine       [53] , Mass = 125.9056 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iodine       [53] , Mass = 125.9056 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.452E-02  8.844E-01      13 A         9 A         6 A   
   1.10 keV   6.767E-02  9.294E-01      13 A         9 A         7 A   
   1.20 keV   7.068E-02  9.721E-01      14 A         9 A         7 A   
   1.30 keV   7.357E-02  1.013E+00      14 A        10 A         7 A   
   1.40 keV   7.634E-02  1.051E+00      15 A        10 A         7 A   
   1.50 keV   7.902E-02  1.089E+00      15 A        10 A         7 A   
   1.60 keV   8.161E-02  1.124E+00      16 A        10 A         8 A   
   1.70 keV   8.413E-02  1.159E+00      16 A        11 A         8 A   
   1.80 keV   8.657E-02  1.192E+00      17 A        11 A         8 A   
   2.00 keV   9.125E-02  1.255E+00      18 A        12 A         8 A   
   2.25 keV   9.678E-02  1.328E+00      19 A        12 A         9 A   
   2.50 keV   1.020E-01  1.396E+00      20 A        13 A         9 A   
   2.75 keV   1.070E-01  1.459E+00      20 A        13 A         9 A   
   3.00 keV   1.118E-01  1.519E+00      21 A        14 A        10 A   
   3.25 keV   1.163E-01  1.576E+00      22 A        14 A        10 A   
   3.50 keV   1.207E-01  1.629E+00      23 A        15 A        10 A   
   3.75 keV   1.249E-01  1.680E+00      24 A        15 A        11 A   
   4.00 keV   1.290E-01  1.729E+00      25 A        15 A        11 A   
   4.50 keV   1.369E-01  1.820E+00      26 A        16 A        12 A   
