 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/137La_in_mo.txt

 Ion = Lanthanum    [57] , Mass = 136.9064 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lanthanum    [57] , Mass = 136.9064 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.397E-02  9.124E-01      13 A         9 A         6 A   
   1.10 keV   3.563E-02  9.594E-01      14 A         9 A         7 A   
   1.20 keV   3.721E-02  1.004E+00      14 A         9 A         7 A   
   1.30 keV   3.873E-02  1.047E+00      15 A        10 A         7 A   
   1.40 keV   4.019E-02  1.087E+00      15 A        10 A         7 A   
   1.50 keV   4.160E-02  1.126E+00      16 A        10 A         8 A   
   1.60 keV   4.297E-02  1.164E+00      16 A        11 A         8 A   
   1.70 keV   4.429E-02  1.200E+00      17 A        11 A         8 A   
   1.80 keV   4.557E-02  1.235E+00      17 A        11 A         8 A   
   2.00 keV   4.804E-02  1.301E+00      18 A        12 A         8 A   
   2.25 keV   5.095E-02  1.378E+00      19 A        12 A         9 A   
   2.50 keV   5.371E-02  1.450E+00      20 A        13 A         9 A   
   2.75 keV   5.633E-02  1.517E+00      21 A        13 A        10 A   
   3.00 keV   5.883E-02  1.580E+00      22 A        14 A        10 A   
   3.25 keV   6.124E-02  1.640E+00      23 A        14 A        10 A   
   3.50 keV   6.355E-02  1.697E+00      24 A        15 A        11 A   
   3.75 keV   6.578E-02  1.751E+00      24 A        15 A        11 A   
   4.00 keV   6.794E-02  1.803E+00      25 A        16 A        11 A   
   4.50 keV   7.206E-02  1.900E+00      27 A        16 A        12 A   
