 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/144Pr_in_mo.txt

 Ion = Praseodymium [59] , Mass = 143.9133 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 143.9133 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.227E-02  9.256E-01      13 A         9 A         6 A   
   1.10 keV   3.384E-02  9.736E-01      14 A         9 A         7 A   
   1.20 keV   3.535E-02  1.019E+00      15 A         9 A         7 A   
   1.30 keV   3.679E-02  1.063E+00      15 A        10 A         7 A   
   1.40 keV   3.818E-02  1.104E+00      16 A        10 A         7 A   
   1.50 keV   3.952E-02  1.144E+00      16 A        10 A         7 A   
   1.60 keV   4.082E-02  1.183E+00      17 A        11 A         8 A   
   1.70 keV   4.207E-02  1.219E+00      17 A        11 A         8 A   
   1.80 keV   4.329E-02  1.255E+00      17 A        11 A         8 A   
   2.00 keV   4.564E-02  1.323E+00      18 A        12 A         8 A   
   2.25 keV   4.840E-02  1.402E+00      19 A        12 A         9 A   
   2.50 keV   5.102E-02  1.476E+00      20 A        13 A         9 A   
   2.75 keV   5.351E-02  1.545E+00      21 A        13 A        10 A   
   3.00 keV   5.589E-02  1.610E+00      22 A        14 A        10 A   
   3.25 keV   5.818E-02  1.671E+00      23 A        14 A        10 A   
   3.50 keV   6.037E-02  1.730E+00      24 A        15 A        11 A   
   3.75 keV   6.249E-02  1.786E+00      25 A        15 A        11 A   
   4.00 keV   6.454E-02  1.839E+00      25 A        15 A        11 A   
   4.50 keV   6.845E-02  1.939E+00      27 A        16 A        12 A   
