 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/156Ho_in_mo.txt

 Ion = Holmium      [67] , Mass = 155.9296 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Holmium      [67] , Mass = 155.9296 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.189E-02  9.637E-01      13 A         8 A         6 A   
   1.10 keV   9.637E-02  1.015E+00      14 A         8 A         6 A   
   1.20 keV   1.007E-01  1.063E+00      14 A         8 A         6 A   
   1.30 keV   1.048E-01  1.109E+00      15 A         9 A         6 A   
   1.40 keV   1.087E-01  1.153E+00      15 A         9 A         7 A   
   1.50 keV   1.125E-01  1.196E+00      16 A         9 A         7 A   
   1.60 keV   1.162E-01  1.237E+00      16 A        10 A         7 A   
   1.70 keV   1.198E-01  1.276E+00      16 A        10 A         7 A   
   1.80 keV   1.233E-01  1.314E+00      17 A        10 A         7 A   
   2.00 keV   1.299E-01  1.387E+00      18 A        10 A         8 A   
   2.25 keV   1.378E-01  1.471E+00      19 A        11 A         8 A   
   2.50 keV   1.453E-01  1.551E+00      19 A        11 A         8 A   
   2.75 keV   1.524E-01  1.625E+00      20 A        12 A         9 A   
   3.00 keV   1.592E-01  1.695E+00      21 A        12 A         9 A   
   3.25 keV   1.657E-01  1.762E+00      22 A        13 A         9 A   
   3.50 keV   1.719E-01  1.825E+00      23 A        13 A        10 A   
   3.75 keV   1.779E-01  1.886E+00      24 A        14 A        10 A   
   4.00 keV   1.838E-01  1.943E+00      24 A        14 A        10 A   
   4.50 keV   1.949E-01  2.052E+00      26 A        15 A        11 A   
