 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/215Pb_in_mo.txt

 Ion = Lead         [82] , Mass = 215.0047 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lead         [82] , Mass = 215.0047 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.931E-02  1.009E+00      15 A         8 A         6 A   
   1.10 keV   9.366E-02  1.065E+00      15 A         8 A         6 A   
   1.20 keV   9.783E-02  1.117E+00      16 A         8 A         6 A   
   1.30 keV   1.018E-01  1.168E+00      16 A         8 A         6 A   
   1.40 keV   1.057E-01  1.216E+00      17 A         9 A         6 A   
   1.50 keV   1.094E-01  1.263E+00      17 A         9 A         7 A   
   1.60 keV   1.130E-01  1.308E+00      18 A         9 A         7 A   
   1.70 keV   1.164E-01  1.351E+00      18 A         9 A         7 A   
   1.80 keV   1.198E-01  1.393E+00      19 A        10 A         7 A   
   2.00 keV   1.263E-01  1.474E+00      19 A        10 A         7 A   
   2.25 keV   1.340E-01  1.568E+00      20 A        10 A         8 A   
   2.50 keV   1.412E-01  1.657E+00      21 A        11 A         8 A   
   2.75 keV   1.481E-01  1.740E+00      22 A        11 A         8 A   
   3.00 keV   1.547E-01  1.819E+00      23 A        12 A         9 A   
   3.25 keV   1.610E-01  1.895E+00      24 A        12 A         9 A   
   3.50 keV   1.671E-01  1.967E+00      25 A        12 A         9 A   
   3.75 keV   1.729E-01  2.035E+00      25 A        13 A         9 A   
   4.00 keV   1.786E-01  2.101E+00      26 A        13 A        10 A   
   4.50 keV   1.894E-01  2.226E+00      28 A        14 A        10 A   
