 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/43P_in_mo.txt

 Ion = Phosphorus   [15] , Mass = 43.00541 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 43.00541 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.834E-02  3.757E-01      15 A        14 A        11 A   
   1.10 keV   5.070E-02  3.904E-01      16 A        15 A        12 A   
   1.20 keV   5.296E-02  4.040E-01      17 A        16 A        12 A   
   1.30 keV   5.512E-02  4.167E-01      18 A        16 A        13 A   
   1.40 keV   5.720E-02  4.286E-01      18 A        17 A        13 A   
   1.50 keV   5.921E-02  4.398E-01      19 A        18 A        14 A   
   1.60 keV   6.115E-02  4.504E-01      20 A        18 A        14 A   
   1.70 keV   6.303E-02  4.605E-01      21 A        19 A        14 A   
   1.80 keV   6.486E-02  4.700E-01      21 A        19 A        15 A   
   2.00 keV   6.837E-02  4.878E-01      23 A        20 A        16 A   
   2.25 keV   7.252E-02  5.079E-01      24 A        22 A        17 A   
   2.50 keV   7.644E-02  5.260E-01      26 A        23 A        18 A   
   2.75 keV   8.017E-02  5.425E-01      28 A        24 A        19 A   
   3.00 keV   8.374E-02  5.576E-01      29 A        25 A        20 A   
   3.25 keV   8.715E-02  5.715E-01      31 A        27 A        21 A   
   3.50 keV   9.044E-02  5.844E-01      32 A        28 A        21 A   
   3.75 keV   9.362E-02  5.963E-01      34 A        29 A        22 A   
   4.00 keV   9.669E-02  6.075E-01      35 A        30 A        23 A   
   4.50 keV   1.026E-01  6.278E-01      38 A        32 A        25 A   
