 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/54Ca_in_mo.txt

 Ion = Calcium      [20] , Mass = 53.97299 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Calcium      [20] , Mass = 53.97299 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.763E-02  4.797E-01      14 A        12 A         9 A   
   1.10 keV   4.995E-02  4.998E-01      15 A        13 A        10 A   
   1.20 keV   5.217E-02  5.185E-01      15 A        13 A        10 A   
   1.30 keV   5.430E-02  5.362E-01      16 A        14 A        11 A   
   1.40 keV   5.635E-02  5.528E-01      17 A        14 A        11 A   
   1.50 keV   5.833E-02  5.685E-01      17 A        15 A        12 A   
   1.60 keV   6.025E-02  5.834E-01      18 A        15 A        12 A   
   1.70 keV   6.210E-02  5.975E-01      19 A        16 A        12 A   
   1.80 keV   6.390E-02  6.111E-01      19 A        16 A        13 A   
   2.00 keV   6.736E-02  6.363E-01      21 A        17 A        13 A   
   2.25 keV   7.144E-02  6.651E-01      22 A        18 A        14 A   
   2.50 keV   7.531E-02  6.913E-01      23 A        19 A        15 A   
   2.75 keV   7.898E-02  7.154E-01      25 A        20 A        16 A   
   3.00 keV   8.250E-02  7.375E-01      26 A        21 A        16 A   
   3.25 keV   8.586E-02  7.580E-01      27 A        22 A        17 A   
   3.50 keV   8.910E-02  7.772E-01      29 A        23 A        18 A   
   3.75 keV   9.223E-02  7.951E-01      30 A        24 A        18 A   
   4.00 keV   9.526E-02  8.119E-01      31 A        25 A        19 A   
   4.50 keV   1.010E-01  8.426E-01      34 A        27 A        20 A   
