 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/55Ti_in_mo.txt

 Ion = Titanium     [22] , Mass = 54.95509 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Titanium     [22] , Mass = 54.95509 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.350E-02  5.032E-01      14 A        12 A         9 A   
   1.10 keV   4.562E-02  5.246E-01      14 A        13 A        10 A   
   1.20 keV   4.765E-02  5.447E-01      15 A        13 A        10 A   
   1.30 keV   4.959E-02  5.636E-01      16 A        14 A        10 A   
   1.40 keV   5.146E-02  5.814E-01      16 A        14 A        11 A   
   1.50 keV   5.327E-02  5.983E-01      17 A        15 A        11 A   
   1.60 keV   5.502E-02  6.143E-01      18 A        15 A        12 A   
   1.70 keV   5.671E-02  6.295E-01      18 A        15 A        12 A   
   1.80 keV   5.836E-02  6.441E-01      19 A        16 A        12 A   
   2.00 keV   6.151E-02  6.714E-01      20 A        17 A        13 A   
   2.25 keV   6.524E-02  7.025E-01      21 A        18 A        14 A   
   2.50 keV   6.877E-02  7.309E-01      23 A        19 A        14 A   
   2.75 keV   7.213E-02  7.570E-01      24 A        20 A        15 A   
   3.00 keV   7.534E-02  7.811E-01      25 A        21 A        16 A   
   3.25 keV   7.841E-02  8.034E-01      26 A        22 A        16 A   
   3.50 keV   8.137E-02  8.243E-01      28 A        22 A        17 A   
   3.75 keV   8.423E-02  8.439E-01      29 A        23 A        18 A   
   4.00 keV   8.699E-02  8.623E-01      30 A        24 A        18 A   
   4.50 keV   9.227E-02  8.960E-01      32 A        26 A        20 A   
