 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/63Cu_in_mo.txt

 Ion = Copper       [29] , Mass = 62.9296 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 62.9296 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.797E-02  5.954E-01      13 A        11 A         9 A   
   1.10 keV   2.934E-02  6.222E-01      13 A        12 A         9 A   
   1.20 keV   3.064E-02  6.474E-01      14 A        12 A         9 A   
   1.30 keV   3.189E-02  6.711E-01      15 A        12 A        10 A   
   1.40 keV   3.310E-02  6.936E-01      15 A        13 A        10 A   
   1.50 keV   3.426E-02  7.150E-01      16 A        13 A        10 A   
   1.60 keV   3.538E-02  7.354E-01      16 A        14 A        11 A   
   1.70 keV   3.647E-02  7.549E-01      17 A        14 A        11 A   
   1.80 keV   3.753E-02  7.735E-01      17 A        15 A        11 A   
   2.00 keV   3.956E-02  8.086E-01      18 A        15 A        12 A   
   2.25 keV   4.196E-02  8.489E-01      20 A        16 A        12 A   
   2.50 keV   4.423E-02  8.859E-01      21 A        17 A        13 A   
   2.75 keV   4.639E-02  9.200E-01      22 A        18 A        14 A   
   3.00 keV   4.845E-02  9.517E-01      23 A        19 A        14 A   
   3.25 keV   5.043E-02  9.813E-01      24 A        19 A        15 A   
   3.50 keV   5.233E-02  1.009E+00      25 A        20 A        15 A   
   3.75 keV   5.417E-02  1.035E+00      26 A        21 A        16 A   
   4.00 keV   5.595E-02  1.060E+00      27 A        22 A        16 A   
   4.50 keV   5.934E-02  1.105E+00      29 A        23 A        17 A   
