 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/76Ga_in_mo.txt

 Ion = Gallium      [31] , Mass = 75.92883 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 75.92883 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.052E-02  6.558E-01      13 A        10 A         8 A   
   1.10 keV   4.250E-02  6.859E-01      14 A        11 A         8 A   
   1.20 keV   4.439E-02  7.143E-01      14 A        11 A         8 A   
   1.30 keV   4.620E-02  7.412E-01      15 A        12 A         9 A   
   1.40 keV   4.795E-02  7.666E-01      15 A        12 A         9 A   
   1.50 keV   4.963E-02  7.908E-01      16 A        13 A         9 A   
   1.60 keV   5.126E-02  8.139E-01      16 A        13 A        10 A   
   1.70 keV   5.284E-02  8.360E-01      17 A        13 A        10 A   
   1.80 keV   5.437E-02  8.572E-01      17 A        14 A        10 A   
   2.00 keV   5.731E-02  8.972E-01      18 A        14 A        11 A   
   2.25 keV   6.079E-02  9.431E-01      20 A        15 A        11 A   
   2.50 keV   6.407E-02  9.853E-01      21 A        16 A        12 A   
   2.75 keV   6.720E-02  1.024E+00      22 A        17 A        12 A   
   3.00 keV   7.019E-02  1.061E+00      23 A        17 A        13 A   
   3.25 keV   7.306E-02  1.095E+00      24 A        18 A        13 A   
   3.50 keV   7.581E-02  1.127E+00      25 A        19 A        14 A   
   3.75 keV   7.848E-02  1.157E+00      26 A        20 A        14 A   
   4.00 keV   8.105E-02  1.186E+00      27 A        20 A        15 A   
   4.50 keV   8.597E-02  1.238E+00      29 A        22 A        15 A   
