 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/114Ba_in_mylar.txt

 Ion = Barium       [56] , Mass = 113.9507 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Barium       [56] , Mass = 113.9507 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.208E-01  2.763E+00      51 A        13 A         9 A   
   1.10 keV   1.267E-01  2.896E+00      53 A        14 A        10 A   
   1.20 keV   1.323E-01  3.021E+00      55 A        14 A        10 A   
   1.30 keV   1.377E-01  3.140E+00      57 A        15 A        10 A   
   1.40 keV   1.429E-01  3.253E+00      59 A        15 A        11 A   
   1.50 keV   1.479E-01  3.361E+00      61 A        15 A        11 A   
   1.60 keV   1.528E-01  3.464E+00      63 A        16 A        11 A   
   1.70 keV   1.575E-01  3.563E+00      65 A        16 A        12 A   
   1.80 keV   1.621E-01  3.658E+00      66 A        17 A        12 A   
   2.00 keV   1.708E-01  3.838E+00      70 A        17 A        12 A   
   2.25 keV   1.812E-01  4.046E+00      74 A        18 A        13 A   
   2.50 keV   1.910E-01  4.238E+00      77 A        19 A        14 A   
   2.75 keV   2.003E-01  4.417E+00      81 A        20 A        14 A   
   3.00 keV   2.092E-01  4.584E+00      84 A        20 A        15 A   
   3.25 keV   2.177E-01  4.742E+00      88 A        21 A        15 A   
   3.50 keV   2.260E-01  4.890E+00      91 A        22 A        16 A   
   3.75 keV   2.339E-01  5.030E+00      94 A        22 A        16 A   
   4.00 keV   2.416E-01  5.163E+00      97 A        23 A        17 A   
