 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/120La_in_mylar.txt

 Ion = Lanthanum    [57] , Mass = 119.9382 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lanthanum    [57] , Mass = 119.9382 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.243E-01  2.727E+00      52 A        13 A         9 A   
   1.10 keV   1.304E-01  2.859E+00      55 A        14 A        10 A   
   1.20 keV   1.362E-01  2.984E+00      57 A        14 A        10 A   
   1.30 keV   1.417E-01  3.102E+00      59 A        14 A        10 A   
   1.40 keV   1.471E-01  3.215E+00      61 A        15 A        11 A   
   1.50 keV   1.523E-01  3.322E+00      63 A        15 A        11 A   
   1.60 keV   1.572E-01  3.425E+00      64 A        16 A        11 A   
   1.70 keV   1.621E-01  3.524E+00      66 A        16 A        11 A   
   1.80 keV   1.668E-01  3.619E+00      68 A        17 A        12 A   
   2.00 keV   1.758E-01  3.799E+00      71 A        17 A        12 A   
   2.25 keV   1.865E-01  4.007E+00      75 A        18 A        13 A   
   2.50 keV   1.966E-01  4.199E+00      79 A        19 A        14 A   
   2.75 keV   2.062E-01  4.378E+00      82 A        20 A        14 A   
   3.00 keV   2.153E-01  4.546E+00      86 A        20 A        15 A   
   3.25 keV   2.241E-01  4.703E+00      89 A        21 A        15 A   
   3.50 keV   2.326E-01  4.852E+00      93 A        22 A        16 A   
   3.75 keV   2.407E-01  4.993E+00      96 A        22 A        16 A   
   4.00 keV   2.486E-01  5.127E+00      99 A        23 A        17 A   
