 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/123Pd_in_mylar.txt

 Ion = Palladium    [46] , Mass = 122.9351 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 122.9351 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.242E-01  2.538E+00      55 A        13 A        10 A   
   1.10 keV   1.302E-01  2.658E+00      58 A        14 A        10 A   
   1.20 keV   1.360E-01  2.771E+00      60 A        14 A        10 A   
   1.30 keV   1.416E-01  2.877E+00      62 A        15 A        11 A   
   1.40 keV   1.469E-01  2.979E+00      64 A        15 A        11 A   
   1.50 keV   1.521E-01  3.076E+00      66 A        16 A        11 A   
   1.60 keV   1.570E-01  3.168E+00      68 A        16 A        12 A   
   1.70 keV   1.619E-01  3.257E+00      70 A        17 A        12 A   
   1.80 keV   1.666E-01  3.341E+00      72 A        17 A        12 A   
   2.00 keV   1.756E-01  3.502E+00      76 A        18 A        13 A   
   2.25 keV   1.862E-01  3.687E+00      80 A        19 A        13 A   
   2.50 keV   1.963E-01  3.858E+00      84 A        20 A        14 A   
   2.75 keV   2.059E-01  4.016E+00      88 A        20 A        15 A   
   3.00 keV   2.150E-01  4.164E+00      92 A        21 A        15 A   
   3.25 keV   2.238E-01  4.303E+00      95 A        22 A        16 A   
   3.50 keV   2.323E-01  4.433E+00      99 A        23 A        16 A   
   3.75 keV   2.404E-01  4.557E+00     102 A        23 A        17 A   
   4.00 keV   2.483E-01  4.674E+00     106 A        24 A        17 A   
