 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/134Pr_in_mylar.txt

 Ion = Praseodymium [59] , Mass = 133.9157 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 133.9157 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.146E-01  2.643E+00      55 A        13 A         9 A   
   1.10 keV   1.202E-01  2.773E+00      58 A        14 A        10 A   
   1.20 keV   1.255E-01  2.896E+00      60 A        14 A        10 A   
   1.30 keV   1.307E-01  3.013E+00      62 A        15 A        10 A   
   1.40 keV   1.356E-01  3.124E+00      64 A        15 A        11 A   
   1.50 keV   1.403E-01  3.231E+00      66 A        15 A        11 A   
   1.60 keV   1.450E-01  3.333E+00      68 A        16 A        11 A   
   1.70 keV   1.494E-01  3.431E+00      70 A        16 A        12 A   
   1.80 keV   1.537E-01  3.525E+00      71 A        17 A        12 A   
   2.00 keV   1.621E-01  3.703E+00      75 A        17 A        12 A   
   2.25 keV   1.719E-01  3.910E+00      79 A        18 A        13 A   
   2.50 keV   1.812E-01  4.102E+00      83 A        19 A        14 A   
   2.75 keV   1.900E-01  4.281E+00      87 A        20 A        14 A   
   3.00 keV   1.985E-01  4.449E+00      90 A        21 A        15 A   
   3.25 keV   2.066E-01  4.607E+00      94 A        21 A        15 A   
   3.50 keV   2.144E-01  4.756E+00      97 A        22 A        16 A   
   3.75 keV   2.219E-01  4.898E+00     100 A        22 A        16 A   
   4.00 keV   2.292E-01  5.032E+00     103 A        23 A        17 A   
