 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/165Dy_in_mylar.txt

 Ion = Dysprosium   [66] , Mass = 164.9317 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Dysprosium   [66] , Mass = 164.9317 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.773E-01  2.504E+00      57 A        12 A         8 A   
   1.10 keV   2.908E-01  2.632E+00      59 A        12 A         9 A   
   1.20 keV   3.037E-01  2.753E+00      61 A        13 A         9 A   
   1.30 keV   3.161E-01  2.868E+00      63 A        13 A         9 A   
   1.40 keV   3.281E-01  2.978E+00      65 A        14 A         9 A   
   1.50 keV   3.396E-01  3.084E+00      67 A        14 A        10 A   
   1.60 keV   3.507E-01  3.185E+00      69 A        14 A        10 A   
   1.70 keV   3.615E-01  3.282E+00      71 A        15 A        10 A   
   1.80 keV   3.720E-01  3.376E+00      73 A        15 A        10 A   
   2.00 keV   3.921E-01  3.555E+00      76 A        16 A        11 A   
   2.25 keV   4.159E-01  3.762E+00      81 A        16 A        11 A   
   2.50 keV   4.384E-01  3.955E+00      84 A        17 A        12 A   
   2.75 keV   4.598E-01  4.136E+00      88 A        18 A        13 A   
   3.00 keV   4.803E-01  4.306E+00      92 A        18 A        13 A   
   3.25 keV   4.999E-01  4.467E+00      95 A        19 A        13 A   
   3.50 keV   5.187E-01  4.619E+00      98 A        20 A        14 A   
   3.75 keV   5.369E-01  4.764E+00     102 A        20 A        14 A   
   4.00 keV   5.546E-01  4.902E+00     105 A        21 A        15 A   
