 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/171Os_in_mylar.txt

 Ion = Osmium       [76] , Mass = 170.9632 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Osmium       [76] , Mass = 170.9632 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.170E-01  2.554E+00      56 A        11 A         8 A   
   1.10 keV   3.325E-01  2.686E+00      58 A        12 A         8 A   
   1.20 keV   3.473E-01  2.812E+00      60 A        12 A         9 A   
   1.30 keV   3.615E-01  2.932E+00      62 A        13 A         9 A   
   1.40 keV   3.751E-01  3.047E+00      64 A        13 A         9 A   
   1.50 keV   3.883E-01  3.157E+00      66 A        13 A         9 A   
   1.60 keV   4.010E-01  3.263E+00      68 A        14 A        10 A   
   1.70 keV   4.133E-01  3.365E+00      70 A        14 A        10 A   
   1.80 keV   4.253E-01  3.464E+00      71 A        14 A        10 A   
   2.00 keV   4.483E-01  3.651E+00      75 A        15 A        10 A   
   2.25 keV   4.755E-01  3.870E+00      79 A        16 A        11 A   
   2.50 keV   5.013E-01  4.073E+00      82 A        16 A        12 A   
   2.75 keV   5.257E-01  4.264E+00      86 A        17 A        12 A   
   3.00 keV   5.491E-01  4.444E+00      89 A        18 A        12 A   
   3.25 keV   5.715E-01  4.615E+00      93 A        18 A        13 A   
   3.50 keV   5.931E-01  4.777E+00      96 A        19 A        13 A   
   3.75 keV   6.139E-01  4.931E+00      99 A        19 A        14 A   
   4.00 keV   6.340E-01  5.078E+00     102 A        20 A        14 A   
