 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/178Ho_in_mylar.txt

 Ion = Holmium      [67] , Mass = 177.9655 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Holmium      [67] , Mass = 177.9655 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.946E-01  2.434E+00      58 A        12 A         8 A   
   1.10 keV   3.090E-01  2.559E+00      61 A        12 A         8 A   
   1.20 keV   3.228E-01  2.678E+00      63 A        13 A         9 A   
   1.30 keV   3.359E-01  2.791E+00      65 A        13 A         9 A   
   1.40 keV   3.486E-01  2.899E+00      67 A        13 A         9 A   
   1.50 keV   3.609E-01  3.003E+00      69 A        14 A        10 A   
   1.60 keV   3.727E-01  3.102E+00      71 A        14 A        10 A   
   1.70 keV   3.842E-01  3.198E+00      73 A        14 A        10 A   
   1.80 keV   3.953E-01  3.291E+00      75 A        15 A        10 A   
   2.00 keV   4.167E-01  3.466E+00      79 A        15 A        11 A   
   2.25 keV   4.420E-01  3.671E+00      83 A        16 A        11 A   
   2.50 keV   4.659E-01  3.862E+00      87 A        17 A        12 A   
   2.75 keV   4.886E-01  4.040E+00      90 A        18 A        12 A   
   3.00 keV   5.103E-01  4.209E+00      94 A        18 A        13 A   
   3.25 keV   5.312E-01  4.367E+00      98 A        19 A        13 A   
   3.50 keV   5.512E-01  4.518E+00     101 A        19 A        14 A   
   3.75 keV   5.706E-01  4.662E+00     104 A        20 A        14 A   
   4.00 keV   5.893E-01  4.799E+00     107 A        21 A        14 A   
