 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/17C_in_mylar.txt

 Ion = Carbon       [6] , Mass = 17.02258 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Carbon       [6] , Mass = 17.02258 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.733E-01  1.034E+00      60 A        27 A        20 A   
   1.10 keV   1.818E-01  1.048E+00      64 A        28 A        21 A   
   1.20 keV   1.899E-01  1.060E+00      68 A        30 A        22 A   
   1.30 keV   1.976E-01  1.070E+00      73 A        32 A        23 A   
   1.40 keV   2.051E-01  1.079E+00      77 A        33 A        25 A   
   1.50 keV   2.123E-01  1.086E+00      81 A        35 A        26 A   
   1.60 keV   2.193E-01  1.092E+00      85 A        36 A        27 A   
   1.70 keV   2.260E-01  1.098E+00      89 A        38 A        28 A   
   1.80 keV   2.326E-01  1.102E+00      93 A        39 A        29 A   
   2.00 keV   2.451E-01  1.109E+00     101 A        42 A        31 A   
   2.25 keV   2.600E-01  1.115E+00     111 A        46 A        34 A   
   2.50 keV   2.741E-01  1.118E+00     121 A        49 A        36 A   
   2.75 keV   2.874E-01  1.119E+00     131 A        53 A        39 A   
   3.00 keV   3.002E-01  1.118E+00     141 A        56 A        41 A   
   3.25 keV   3.125E-01  1.116E+00     151 A        60 A        44 A   
   3.50 keV   3.243E-01  1.113E+00     161 A        63 A        46 A   
   3.75 keV   3.357E-01  1.110E+00     170 A        66 A        48 A   
   4.00 keV   3.467E-01  1.106E+00     180 A        69 A        51 A   
