 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/18Na_in_mylar.txt

 Ion = Sodium       [11] , Mass = 18.02688 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 18.02688 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.636E-01  1.571E+00      44 A        21 A        15 A   
   1.10 keV   1.716E-01  1.605E+00      47 A        22 A        16 A   
   1.20 keV   1.792E-01  1.635E+00      50 A        23 A        17 A   
   1.30 keV   1.866E-01  1.662E+00      53 A        24 A        18 A   
   1.40 keV   1.936E-01  1.687E+00      55 A        25 A        19 A   
   1.50 keV   2.004E-01  1.709E+00      58 A        26 A        20 A   
   1.60 keV   2.070E-01  1.729E+00      61 A        27 A        20 A   
   1.70 keV   2.133E-01  1.747E+00      64 A        29 A        21 A   
   1.80 keV   2.195E-01  1.764E+00      66 A        30 A        22 A   
   2.00 keV   2.314E-01  1.793E+00      71 A        32 A        23 A   
   2.25 keV   2.454E-01  1.824E+00      78 A        34 A        25 A   
   2.50 keV   2.587E-01  1.848E+00      84 A        36 A        27 A   
   2.75 keV   2.713E-01  1.869E+00      91 A        39 A        29 A   
   3.00 keV   2.834E-01  1.886E+00      97 A        41 A        30 A   
   3.25 keV   2.950E-01  1.899E+00     103 A        43 A        32 A   
   3.50 keV   3.061E-01  1.911E+00     109 A        46 A        34 A   
   3.75 keV   3.169E-01  1.920E+00     115 A        48 A        35 A   
   4.00 keV   3.272E-01  1.927E+00     121 A        50 A        37 A   
