 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/193Re_in_mylar.txt

 Ion = Rhenium      [75] , Mass = 192.9675 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhenium      [75] , Mass = 192.9675 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.991E-01  2.414E+00      60 A        11 A         8 A   
   1.10 keV   3.137E-01  2.541E+00      62 A        12 A         8 A   
   1.20 keV   3.276E-01  2.661E+00      65 A        12 A         9 A   
   1.30 keV   3.410E-01  2.776E+00      67 A        13 A         9 A   
   1.40 keV   3.539E-01  2.885E+00      69 A        13 A         9 A   
   1.50 keV   3.663E-01  2.991E+00      71 A        14 A         9 A   
   1.60 keV   3.783E-01  3.092E+00      73 A        14 A        10 A   
   1.70 keV   3.900E-01  3.190E+00      75 A        14 A        10 A   
   1.80 keV   4.013E-01  3.284E+00      77 A        15 A        10 A   
   2.00 keV   4.230E-01  3.464E+00      80 A        15 A        11 A   
   2.25 keV   4.486E-01  3.674E+00      84 A        16 A        11 A   
   2.50 keV   4.729E-01  3.869E+00      88 A        17 A        12 A   
   2.75 keV   4.960E-01  4.053E+00      92 A        17 A        12 A   
   3.00 keV   5.180E-01  4.226E+00      96 A        18 A        13 A   
   3.25 keV   5.392E-01  4.391E+00      99 A        19 A        13 A   
   3.50 keV   5.595E-01  4.547E+00     103 A        19 A        13 A   
   3.75 keV   5.792E-01  4.696E+00     106 A        20 A        14 A   
   4.00 keV   5.982E-01  4.838E+00     109 A        20 A        14 A   
