 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/202Ir_in_mylar.txt

 Ion = Iridium      [77] , Mass = 201.9821 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iridium      [77] , Mass = 201.9821 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.050E-01  2.380E+00      61 A        11 A         8 A   
   1.10 keV   3.199E-01  2.505E+00      63 A        12 A         8 A   
   1.20 keV   3.341E-01  2.624E+00      66 A        12 A         9 A   
   1.30 keV   3.477E-01  2.738E+00      68 A        13 A         9 A   
   1.40 keV   3.609E-01  2.848E+00      70 A        13 A         9 A   
   1.50 keV   3.735E-01  2.952E+00      72 A        13 A         9 A   
   1.60 keV   3.858E-01  3.053E+00      74 A        14 A        10 A   
   1.70 keV   3.977E-01  3.150E+00      76 A        14 A        10 A   
   1.80 keV   4.092E-01  3.244E+00      78 A        15 A        10 A   
   2.00 keV   4.313E-01  3.423E+00      81 A        15 A        11 A   
   2.25 keV   4.575E-01  3.632E+00      86 A        16 A        11 A   
   2.50 keV   4.822E-01  3.827E+00      90 A        17 A        12 A   
   2.75 keV   5.058E-01  4.011E+00      93 A        17 A        12 A   
   3.00 keV   5.283E-01  4.184E+00      97 A        18 A        12 A   
   3.25 keV   5.498E-01  4.348E+00     101 A        18 A        13 A   
   3.50 keV   5.706E-01  4.504E+00     104 A        19 A        13 A   
   3.75 keV   5.906E-01  4.653E+00     107 A        20 A        14 A   
   4.00 keV   6.100E-01  4.796E+00     110 A        20 A        14 A   
