 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/227Th_in_mylar.txt

 Ion = Thorium      [90] , Mass = 227.0277 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thorium      [90] , Mass = 227.0277 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.132E-01  2.333E+00      63 A        11 A         8 A   
   1.10 keV   3.284E-01  2.459E+00      66 A        12 A         8 A   
   1.20 keV   3.430E-01  2.579E+00      68 A        12 A         8 A   
   1.30 keV   3.570E-01  2.694E+00      70 A        12 A         9 A   
   1.40 keV   3.705E-01  2.805E+00      73 A        13 A         9 A   
   1.50 keV   3.835E-01  2.911E+00      75 A        13 A         9 A   
   1.60 keV   3.961E-01  3.013E+00      77 A        14 A         9 A   
   1.70 keV   4.083E-01  3.111E+00      79 A        14 A        10 A   
   1.80 keV   4.201E-01  3.207E+00      80 A        14 A        10 A   
   2.00 keV   4.429E-01  3.389E+00      84 A        15 A        10 A   
   2.25 keV   4.697E-01  3.603E+00      88 A        16 A        11 A   
   2.50 keV   4.951E-01  3.803E+00      92 A        16 A        11 A   
   2.75 keV   5.193E-01  3.991E+00      96 A        17 A        12 A   
   3.00 keV   5.424E-01  4.170E+00     100 A        18 A        12 A   
   3.25 keV   5.645E-01  4.339E+00     103 A        18 A        13 A   
   3.50 keV   5.859E-01  4.501E+00     107 A        19 A        13 A   
   3.75 keV   6.064E-01  4.655E+00     110 A        19 A        13 A   
   4.00 keV   6.263E-01  4.803E+00     113 A        20 A        14 A   
