 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/25O_in_mylar.txt

 Ion = Oxygen       [8] , Mass = 25.02934 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 25.02934 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.679E-01  1.369E+00      54 A        21 A        16 A   
   1.10 keV   1.761E-01  1.396E+00      58 A        23 A        17 A   
   1.20 keV   1.839E-01  1.421E+00      61 A        24 A        18 A   
   1.30 keV   1.914E-01  1.442E+00      64 A        25 A        19 A   
   1.40 keV   1.986E-01  1.462E+00      68 A        26 A        20 A   
   1.50 keV   2.056E-01  1.479E+00      71 A        27 A        21 A   
   1.60 keV   2.124E-01  1.495E+00      75 A        28 A        21 A   
   1.70 keV   2.189E-01  1.509E+00      78 A        29 A        22 A   
   1.80 keV   2.252E-01  1.522E+00      81 A        30 A        23 A   
   2.00 keV   2.374E-01  1.545E+00      88 A        33 A        25 A   
   2.25 keV   2.518E-01  1.567E+00      96 A        35 A        27 A   
   2.50 keV   2.655E-01  1.586E+00     103 A        38 A        29 A   
   2.75 keV   2.784E-01  1.600E+00     111 A        40 A        30 A   
   3.00 keV   2.908E-01  1.612E+00     119 A        42 A        32 A   
   3.25 keV   3.027E-01  1.621E+00     126 A        45 A        34 A   
   3.50 keV   3.141E-01  1.628E+00     134 A        47 A        36 A   
   3.75 keV   3.251E-01  1.634E+00     141 A        49 A        37 A   
   4.00 keV   3.358E-01  1.638E+00     149 A        51 A        39 A   
