 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/44Cl_in_mylar.txt

 Ion = Chlorine     [17] , Mass = 43.97802 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chlorine     [17] , Mass = 43.97802 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.363E-01  2.145E+00      44 A        15 A        11 A   
   1.10 keV   2.478E-01  2.215E+00      47 A        16 A        12 A   
   1.20 keV   2.588E-01  2.279E+00      49 A        17 A        12 A   
   1.30 keV   2.694E-01  2.337E+00      52 A        17 A        13 A   
   1.40 keV   2.796E-01  2.392E+00      54 A        18 A        13 A   
   1.50 keV   2.894E-01  2.443E+00      56 A        18 A        14 A   
   1.60 keV   2.989E-01  2.490E+00      58 A        19 A        14 A   
   1.70 keV   3.081E-01  2.535E+00      60 A        20 A        15 A   
   1.80 keV   3.170E-01  2.577E+00      62 A        20 A        15 A   
   2.00 keV   3.341E-01  2.653E+00      66 A        21 A        16 A   
   2.25 keV   3.544E-01  2.739E+00      71 A        23 A        17 A   
   2.50 keV   3.736E-01  2.814E+00      76 A        24 A        18 A   
   2.75 keV   3.918E-01  2.880E+00      81 A        25 A        19 A   
   3.00 keV   4.092E-01  2.940E+00      85 A        26 A        20 A   
   3.25 keV   4.259E-01  2.995E+00      90 A        27 A        21 A   
   3.50 keV   4.420E-01  3.044E+00      94 A        29 A        22 A   
   3.75 keV   4.575E-01  3.089E+00      99 A        30 A        23 A   
   4.00 keV   4.725E-01  3.130E+00     103 A        31 A        24 A   
