 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/61Ni_in_mylar.txt

 Ion = Nickel       [28] , Mass = 60.93105 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nickel       [28] , Mass = 60.93105 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.379E-02  2.576E+00      45 A        15 A        11 A   
   1.10 keV   8.788E-02  2.676E+00      47 A        15 A        11 A   
   1.20 keV   9.179E-02  2.770E+00      49 A        16 A        12 A   
   1.30 keV   9.554E-02  2.858E+00      52 A        16 A        12 A   
   1.40 keV   9.915E-02  2.940E+00      54 A        17 A        12 A   
   1.50 keV   1.026E-01  3.018E+00      56 A        17 A        13 A   
   1.60 keV   1.060E-01  3.091E+00      57 A        18 A        13 A   
   1.70 keV   1.093E-01  3.160E+00      59 A        18 A        14 A   
   1.80 keV   1.124E-01  3.226E+00      61 A        19 A        14 A   
   2.00 keV   1.185E-01  3.349E+00      65 A        20 A        15 A   
   2.25 keV   1.257E-01  3.488E+00      69 A        21 A        16 A   
   2.50 keV   1.325E-01  3.613E+00      73 A        22 A        17 A   
   2.75 keV   1.390E-01  3.727E+00      77 A        23 A        17 A   
   3.00 keV   1.451E-01  3.832E+00      81 A        24 A        18 A   
   3.25 keV   1.511E-01  3.928E+00      85 A        25 A        19 A   
   3.50 keV   1.568E-01  4.018E+00      89 A        26 A        20 A   
   3.75 keV   1.623E-01  4.101E+00      92 A        27 A        20 A   
   4.00 keV   1.676E-01  4.178E+00      96 A        28 A        21 A   
