 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/83Zn_in_mylar.txt

 Ion = Zinc         [30] , Mass = 82.96104 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 82.96104 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.338E-01  2.476E+00      50 A        14 A        10 A   
   1.10 keV   1.404E-01  2.579E+00      52 A        15 A        11 A   
   1.20 keV   1.466E-01  2.675E+00      55 A        15 A        11 A   
   1.30 keV   1.526E-01  2.766E+00      57 A        16 A        11 A   
   1.40 keV   1.584E-01  2.851E+00      59 A        16 A        12 A   
   1.50 keV   1.639E-01  2.931E+00      61 A        17 A        12 A   
   1.60 keV   1.693E-01  3.008E+00      63 A        17 A        13 A   
   1.70 keV   1.745E-01  3.081E+00      65 A        18 A        13 A   
   1.80 keV   1.796E-01  3.150E+00      67 A        18 A        13 A   
   2.00 keV   1.893E-01  3.280E+00      70 A        19 A        14 A   
   2.25 keV   2.008E-01  3.427E+00      75 A        20 A        15 A   
   2.50 keV   2.116E-01  3.561E+00      79 A        21 A        16 A   
   2.75 keV   2.220E-01  3.684E+00      83 A        22 A        16 A   
   3.00 keV   2.318E-01  3.798E+00      87 A        23 A        17 A   
   3.25 keV   2.413E-01  3.903E+00      91 A        24 A        18 A   
   3.50 keV   2.504E-01  4.001E+00      95 A        24 A        18 A   
   3.75 keV   2.592E-01  4.092E+00      99 A        25 A        19 A   
   4.00 keV   2.677E-01  4.178E+00     102 A        26 A        20 A   
