 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/88Mo_in_mylar.txt

 Ion = Molybdenum   [42] , Mass = 87.92197 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Molybdenum   [42] , Mass = 87.92197 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.328E-01  2.744E+00      47 A        13 A        10 A   
   1.10 keV   1.393E-01  2.867E+00      50 A        14 A        10 A   
   1.20 keV   1.455E-01  2.982E+00      52 A        14 A        10 A   
   1.30 keV   1.514E-01  3.090E+00      54 A        15 A        11 A   
   1.40 keV   1.571E-01  3.193E+00      55 A        15 A        11 A   
   1.50 keV   1.627E-01  3.290E+00      57 A        16 A        11 A   
   1.60 keV   1.680E-01  3.383E+00      59 A        16 A        12 A   
   1.70 keV   1.732E-01  3.472E+00      61 A        17 A        12 A   
   1.80 keV   1.782E-01  3.557E+00      63 A        17 A        12 A   
   2.00 keV   1.878E-01  3.716E+00      66 A        18 A        13 A   
   2.25 keV   1.992E-01  3.899E+00      70 A        19 A        14 A   
   2.50 keV   2.100E-01  4.067E+00      74 A        20 A        14 A   
   2.75 keV   2.202E-01  4.222E+00      77 A        20 A        15 A   
   3.00 keV   2.300E-01  4.365E+00      81 A        21 A        16 A   
   3.25 keV   2.394E-01  4.499E+00      84 A        22 A        16 A   
   3.50 keV   2.485E-01  4.625E+00      87 A        23 A        17 A   
   3.75 keV   2.572E-01  4.743E+00      91 A        23 A        17 A   
   4.00 keV   2.656E-01  4.854E+00      94 A        24 A        18 A   
