 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/95Ag_in_mylar.txt

 Ion = Silver       [47] , Mass = 94.93568 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silver       [47] , Mass = 94.93568 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.237E-01  2.783E+00      47 A        12 A         9 A   
   1.10 keV   2.346E-01  2.910E+00      49 A        13 A         9 A   
   1.20 keV   2.450E-01  3.030E+00      51 A        13 A        10 A   
   1.30 keV   2.550E-01  3.144E+00      53 A        14 A        10 A   
   1.40 keV   2.647E-01  3.251E+00      54 A        14 A        10 A   
   1.50 keV   2.740E-01  3.354E+00      56 A        15 A        11 A   
   1.60 keV   2.829E-01  3.452E+00      58 A        15 A        11 A   
   1.70 keV   2.917E-01  3.545E+00      60 A        16 A        11 A   
   1.80 keV   3.001E-01  3.635E+00      61 A        16 A        12 A   
   2.00 keV   3.163E-01  3.803E+00      64 A        17 A        12 A   
   2.25 keV   3.355E-01  3.997E+00      68 A        18 A        13 A   
   2.50 keV   3.537E-01  4.176E+00      72 A        18 A        13 A   
   2.75 keV   3.709E-01  4.341E+00      75 A        19 A        14 A   
   3.00 keV   3.874E-01  4.494E+00      78 A        20 A        15 A   
   3.25 keV   4.033E-01  4.638E+00      82 A        21 A        15 A   
   3.50 keV   4.185E-01  4.773E+00      85 A        21 A        16 A   
   3.75 keV   4.332E-01  4.901E+00      88 A        22 A        16 A   
   4.00 keV   4.474E-01  5.021E+00      91 A        22 A        17 A   
