 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/113Ag_in_ni.txt

 Ion = Silver       [47] , Mass = 112.9066 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silver       [47] , Mass = 112.9066 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.564E-02  1.258E+00      12 A         7 A         5 A   
   1.10 keV   5.836E-02  1.320E+00      13 A         7 A         5 A   
   1.20 keV   6.095E-02  1.378E+00      13 A         7 A         5 A   
   1.30 keV   6.344E-02  1.434E+00      14 A         8 A         6 A   
   1.40 keV   6.584E-02  1.486E+00      14 A         8 A         6 A   
   1.50 keV   6.815E-02  1.537E+00      15 A         8 A         6 A   
   1.60 keV   7.038E-02  1.585E+00      15 A         8 A         6 A   
   1.70 keV   7.255E-02  1.631E+00      16 A         9 A         6 A   
   1.80 keV   7.465E-02  1.676E+00      16 A         9 A         6 A   
   2.00 keV   7.869E-02  1.760E+00      17 A         9 A         7 A   
   2.25 keV   8.347E-02  1.858E+00      18 A        10 A         7 A   
   2.50 keV   8.798E-02  1.948E+00      19 A        10 A         7 A   
   2.75 keV   9.227E-02  2.033E+00      20 A        10 A         8 A   
   3.00 keV   9.638E-02  2.112E+00      21 A        11 A         8 A   
   3.25 keV   1.003E-01  2.186E+00      21 A        11 A         8 A   
   3.50 keV   1.041E-01  2.256E+00      22 A        12 A         8 A   
   3.75 keV   1.078E-01  2.323E+00      23 A        12 A         9 A   
   4.00 keV   1.113E-01  2.386E+00      24 A        12 A         9 A   
   4.50 keV   1.180E-01  2.504E+00      25 A        13 A         9 A   
