 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/156Yb_in_ni.txt

 Ion = Ytterbium    [70] , Mass = 155.9428 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Ytterbium    [70] , Mass = 155.9428 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.954E-02  1.387E+00      13 A         6 A         5 A   
   1.10 keV   8.343E-02  1.459E+00      13 A         6 A         5 A   
   1.20 keV   8.714E-02  1.529E+00      14 A         7 A         5 A   
   1.30 keV   9.069E-02  1.595E+00      14 A         7 A         5 A   
   1.40 keV   9.412E-02  1.658E+00      15 A         7 A         5 A   
   1.50 keV   9.742E-02  1.718E+00      15 A         7 A         5 A   
   1.60 keV   1.006E-01  1.777E+00      16 A         7 A         5 A   
   1.70 keV   1.037E-01  1.833E+00      16 A         8 A         6 A   
   1.80 keV   1.067E-01  1.887E+00      16 A         8 A         6 A   
   2.00 keV   1.125E-01  1.991E+00      17 A         8 A         6 A   
   2.25 keV   1.193E-01  2.111E+00      18 A         9 A         6 A   
   2.50 keV   1.258E-01  2.224E+00      19 A         9 A         7 A   
   2.75 keV   1.319E-01  2.330E+00      20 A         9 A         7 A   
   3.00 keV   1.378E-01  2.430E+00      21 A        10 A         7 A   
   3.25 keV   1.434E-01  2.524E+00      21 A        10 A         7 A   
   3.50 keV   1.488E-01  2.614E+00      22 A        10 A         7 A   
   3.75 keV   1.540E-01  2.700E+00      23 A        11 A         8 A   
   4.00 keV   1.591E-01  2.782E+00      24 A        11 A         8 A   
