 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/192Ta_in_ni.txt

 Ion = Tantalum     [73] , Mass = 191.9752 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tantalum     [73] , Mass = 191.9752 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.984E-02  1.358E+00      14 A         6 A         5 A   
   1.10 keV   5.228E-02  1.431E+00      15 A         7 A         5 A   
   1.20 keV   5.460E-02  1.500E+00      16 A         7 A         5 A   
   1.30 keV   5.683E-02  1.566E+00      16 A         7 A         5 A   
   1.40 keV   5.897E-02  1.629E+00      17 A         7 A         5 A   
   1.50 keV   6.104E-02  1.690E+00      17 A         7 A         5 A   
   1.60 keV   6.305E-02  1.748E+00      17 A         8 A         6 A   
   1.70 keV   6.499E-02  1.805E+00      18 A         8 A         6 A   
   1.80 keV   6.687E-02  1.859E+00      18 A         8 A         6 A   
   2.00 keV   7.049E-02  1.964E+00      19 A         8 A         6 A   
   2.25 keV   7.476E-02  2.085E+00      20 A         9 A         6 A   
   2.50 keV   7.881E-02  2.199E+00      21 A         9 A         7 A   
   2.75 keV   8.265E-02  2.307E+00      22 A         9 A         7 A   
   3.00 keV   8.633E-02  2.408E+00      23 A        10 A         7 A   
   3.25 keV   8.985E-02  2.504E+00      24 A        10 A         7 A   
   3.50 keV   9.325E-02  2.596E+00      24 A        10 A         8 A   
   3.75 keV   9.652E-02  2.683E+00      25 A        11 A         8 A   
   4.00 keV   9.968E-02  2.767E+00      26 A        11 A         8 A   
   4.50 keV   1.057E-01  2.925E+00      27 A        12 A         8 A   
