 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/193Po_in_ni.txt

 Ion = Polonium     [84] , Mass = 192.9911 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Polonium     [84] , Mass = 192.9911 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.645E-02  1.405E+00      14 A         6 A         4 A   
   1.10 keV   1.012E-01  1.481E+00      14 A         6 A         5 A   
   1.20 keV   1.057E-01  1.554E+00      15 A         6 A         5 A   
   1.30 keV   1.100E-01  1.623E+00      15 A         7 A         5 A   
   1.40 keV   1.141E-01  1.689E+00      16 A         7 A         5 A   
   1.50 keV   1.181E-01  1.753E+00      16 A         7 A         5 A   
   1.60 keV   1.220E-01  1.815E+00      17 A         7 A         5 A   
   1.70 keV   1.258E-01  1.875E+00      17 A         7 A         5 A   
   1.80 keV   1.294E-01  1.932E+00      17 A         7 A         5 A   
   2.00 keV   1.364E-01  2.042E+00      18 A         8 A         6 A   
   2.25 keV   1.447E-01  2.171E+00      19 A         8 A         6 A   
   2.50 keV   1.525E-01  2.292E+00      20 A         8 A         6 A   
   2.75 keV   1.599E-01  2.406E+00      21 A         9 A         6 A   
   3.00 keV   1.671E-01  2.514E+00      22 A         9 A         7 A   
   3.25 keV   1.739E-01  2.616E+00      22 A         9 A         7 A   
   3.50 keV   1.804E-01  2.714E+00      23 A        10 A         7 A   
   3.75 keV   1.868E-01  2.807E+00      24 A        10 A         7 A   
   4.00 keV   1.929E-01  2.896E+00      25 A        10 A         7 A   
   4.50 keV   2.046E-01  3.065E+00      26 A        11 A         8 A   
