 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/33Si_in_ni.txt

 Ion = Silicon      [14] , Mass = 32.97798 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silicon      [14] , Mass = 32.97798 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.738E-02  5.619E-01      13 A        11 A         8 A   
   1.10 keV   6.019E-02  5.817E-01      14 A        12 A         9 A   
   1.20 keV   6.286E-02  6.000E-01      15 A        12 A         9 A   
   1.30 keV   6.543E-02  6.170E-01      16 A        13 A        10 A   
   1.40 keV   6.790E-02  6.329E-01      16 A        13 A        10 A   
   1.50 keV   7.028E-02  6.477E-01      17 A        14 A        10 A   
   1.60 keV   7.259E-02  6.617E-01      18 A        14 A        11 A   
   1.70 keV   7.482E-02  6.748E-01      18 A        15 A        11 A   
   1.80 keV   7.699E-02  6.872E-01      19 A        15 A        12 A   
   2.00 keV   8.115E-02  7.101E-01      20 A        16 A        12 A   
   2.25 keV   8.608E-02  7.358E-01      22 A        17 A        13 A   
   2.50 keV   9.073E-02  7.586E-01      24 A        18 A        14 A   
   2.75 keV   9.516E-02  7.792E-01      25 A        19 A        15 A   
   3.00 keV   9.939E-02  7.979E-01      27 A        20 A        15 A   
   3.25 keV   1.035E-01  8.149E-01      28 A        21 A        16 A   
   3.50 keV   1.074E-01  8.305E-01      30 A        22 A        17 A   
   3.75 keV   1.111E-01  8.448E-01      31 A        23 A        18 A   
   4.00 keV   1.148E-01  8.581E-01      32 A        24 A        18 A   
   4.50 keV   1.217E-01  8.819E-01      35 A        26 A        19 A   
