 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/44P_in_ni.txt

 Ion = Phosphorus   [15] , Mass = 44.01193 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 44.01193 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.441E-02  6.629E-01      14 A        10 A         8 A   
   1.10 keV   4.658E-02  6.873E-01      14 A        11 A         8 A   
   1.20 keV   4.865E-02  7.099E-01      15 A        11 A         8 A   
   1.30 keV   5.063E-02  7.310E-01      16 A        12 A         9 A   
   1.40 keV   5.255E-02  7.507E-01      16 A        12 A         9 A   
   1.50 keV   5.439E-02  7.691E-01      17 A        13 A         9 A   
   1.60 keV   5.617E-02  7.865E-01      18 A        13 A        10 A   
   1.70 keV   5.790E-02  8.030E-01      18 A        14 A        10 A   
   1.80 keV   5.958E-02  8.185E-01      19 A        14 A        10 A   
   2.00 keV   6.280E-02  8.474E-01      20 A        15 A        11 A   
   2.25 keV   6.661E-02  8.798E-01      22 A        16 A        11 A   
   2.50 keV   7.022E-02  9.089E-01      24 A        17 A        12 A   
   2.75 keV   7.364E-02  9.351E-01      25 A        18 A        13 A   
   3.00 keV   7.692E-02  9.591E-01      26 A        19 A        13 A   
   3.25 keV   8.006E-02  9.810E-01      28 A        20 A        14 A   
   3.50 keV   8.308E-02  1.001E+00      29 A        21 A        15 A   
   3.75 keV   8.600E-02  1.020E+00      31 A        21 A        15 A   
   4.00 keV   8.882E-02  1.037E+00      32 A        22 A        16 A   
   4.50 keV   9.421E-02  1.068E+00      35 A        24 A        17 A   
