 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/6H_in_ni.txt

 Ion = Hydrogen     [1] , Mass = 6.044955 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 6.044955 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.518E-02  2.540E-02      72 A        95 A        71 A   
   1.10 keV   1.592E-02  2.538E-02      79 A       103 A        77 A   
   1.20 keV   1.663E-02  2.532E-02      86 A       110 A        82 A   
   1.30 keV   1.731E-02  2.523E-02      93 A       118 A        88 A   
   1.40 keV   1.796E-02  2.513E-02     100 A       125 A        93 A   
   1.50 keV   1.859E-02  2.501E-02     107 A       132 A        99 A   
   1.60 keV   1.920E-02  2.488E-02     114 A       139 A       104 A   
   1.70 keV   1.980E-02  2.474E-02     121 A       146 A       109 A   
   1.80 keV   2.037E-02  2.459E-02     128 A       153 A       115 A   
   2.00 keV   2.147E-02  2.428E-02     142 A       167 A       125 A   
   2.25 keV   2.277E-02  2.388E-02     161 A       185 A       138 A   
   2.50 keV   2.401E-02  2.348E-02     179 A       201 A       151 A   
   2.75 keV   2.518E-02  2.307E-02     198 A       218 A       164 A   
   3.00 keV   2.630E-02  2.267E-02     217 A       235 A       177 A   
   3.25 keV   2.737E-02  2.227E-02     236 A       251 A       189 A   
   3.50 keV   2.840E-02  2.189E-02     256 A       267 A       202 A   
   3.75 keV   2.940E-02  2.152E-02     275 A       283 A       214 A   
   4.00 keV   3.037E-02  2.116E-02     295 A       298 A       227 A   
   4.50 keV   3.221E-02  2.047E-02     335 A       329 A       251 A   
