 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/79As_in_ni.txt

 Ion = Arsenic      [33] , Mass = 78.92095 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 78.92095 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.637E-02  1.084E+00      12 A         8 A         6 A   
   1.10 keV   3.814E-02  1.133E+00      12 A         8 A         6 A   
   1.20 keV   3.984E-02  1.180E+00      13 A         8 A         6 A   
   1.30 keV   4.147E-02  1.223E+00      14 A         9 A         6 A   
   1.40 keV   4.303E-02  1.264E+00      14 A         9 A         6 A   
   1.50 keV   4.454E-02  1.304E+00      15 A         9 A         7 A   
   1.60 keV   4.600E-02  1.341E+00      15 A         9 A         7 A   
   1.70 keV   4.742E-02  1.377E+00      15 A        10 A         7 A   
   1.80 keV   4.879E-02  1.411E+00      16 A        10 A         7 A   
   2.00 keV   5.143E-02  1.476E+00      17 A        10 A         7 A   
   2.25 keV   5.455E-02  1.550E+00      18 A        11 A         8 A   
   2.50 keV   5.750E-02  1.618E+00      19 A        12 A         8 A   
   2.75 keV   6.031E-02  1.680E+00      20 A        12 A         9 A   
   3.00 keV   6.299E-02  1.739E+00      21 A        13 A         9 A   
   3.25 keV   6.557E-02  1.793E+00      22 A        13 A         9 A   
   3.50 keV   6.804E-02  1.844E+00      23 A        14 A        10 A   
   3.75 keV   7.043E-02  1.893E+00      24 A        14 A        10 A   
   4.00 keV   7.274E-02  1.938E+00      24 A        14 A        10 A   
   4.50 keV   7.715E-02  2.022E+00      26 A        15 A        11 A   
