 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/97Zr_in_ni.txt

 Ion = Zirconium    [40] , Mass = 96.91096 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zirconium    [40] , Mass = 96.91096 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.361E-02  1.187E+00      12 A         7 A         5 A   
   1.10 keV   3.525E-02  1.243E+00      13 A         8 A         5 A   
   1.20 keV   3.682E-02  1.296E+00      13 A         8 A         6 A   
   1.30 keV   3.832E-02  1.346E+00      14 A         8 A         6 A   
   1.40 keV   3.977E-02  1.394E+00      14 A         8 A         6 A   
   1.50 keV   4.117E-02  1.440E+00      15 A         9 A         6 A   
   1.60 keV   4.252E-02  1.483E+00      15 A         9 A         6 A   
   1.70 keV   4.382E-02  1.525E+00      16 A         9 A         7 A   
   1.80 keV   4.509E-02  1.565E+00      16 A         9 A         7 A   
   2.00 keV   4.753E-02  1.640E+00      17 A        10 A         7 A   
   2.25 keV   5.042E-02  1.728E+00      18 A        10 A         7 A   
   2.50 keV   5.314E-02  1.808E+00      19 A        11 A         8 A   
   2.75 keV   5.574E-02  1.883E+00      20 A        11 A         8 A   
   3.00 keV   5.822E-02  1.953E+00      21 A        12 A         8 A   
   3.25 keV   6.059E-02  2.018E+00      22 A        12 A         9 A   
   3.50 keV   6.288E-02  2.080E+00      22 A        13 A         9 A   
   3.75 keV   6.509E-02  2.138E+00      23 A        13 A         9 A   
   4.00 keV   6.722E-02  2.194E+00      24 A        13 A        10 A   
   4.50 keV   7.130E-02  2.296E+00      26 A        14 A        10 A   
