 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/98Rh_in_ni.txt

 Ion = Rhodium      [45] , Mass = 97.91071 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 97.91071 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.446E-02  1.235E+00      12 A         7 A         5 A   
   1.10 keV   3.615E-02  1.294E+00      12 A         7 A         5 A   
   1.20 keV   3.775E-02  1.350E+00      13 A         8 A         6 A   
   1.30 keV   3.930E-02  1.403E+00      13 A         8 A         6 A   
   1.40 keV   4.078E-02  1.454E+00      14 A         8 A         6 A   
   1.50 keV   4.221E-02  1.503E+00      14 A         8 A         6 A   
   1.60 keV   4.359E-02  1.549E+00      15 A         9 A         6 A   
   1.70 keV   4.494E-02  1.593E+00      15 A         9 A         6 A   
   1.80 keV   4.624E-02  1.636E+00      16 A         9 A         7 A   
   2.00 keV   4.874E-02  1.717E+00      16 A         9 A         7 A   
   2.25 keV   5.170E-02  1.810E+00      17 A        10 A         7 A   
   2.50 keV   5.449E-02  1.896E+00      18 A        10 A         8 A   
   2.75 keV   5.715E-02  1.976E+00      19 A        11 A         8 A   
   3.00 keV   5.969E-02  2.051E+00      20 A        11 A         8 A   
   3.25 keV   6.213E-02  2.122E+00      21 A        12 A         8 A   
   3.50 keV   6.448E-02  2.189E+00      22 A        12 A         9 A   
   3.75 keV   6.674E-02  2.252E+00      22 A        13 A         9 A   
   4.00 keV   6.893E-02  2.311E+00      23 A        13 A         9 A   
   4.50 keV   7.311E-02  2.423E+00      25 A        14 A        10 A   
