 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/11O_in_si.txt

 Ion = Oxygen       [8] , Mass = 11.05125 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 11.05125 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.598E-01  4.787E-01      42 A        35 A        26 A   
   1.10 keV   1.676E-01  4.888E-01      45 A        37 A        28 A   
   1.20 keV   1.750E-01  4.978E-01      48 A        39 A        29 A   
   1.30 keV   1.822E-01  5.058E-01      51 A        41 A        31 A   
   1.40 keV   1.890E-01  5.131E-01      54 A        43 A        32 A   
   1.50 keV   1.957E-01  5.196E-01      57 A        45 A        34 A   
   1.60 keV   2.021E-01  5.255E-01      59 A        47 A        35 A   
   1.70 keV   2.083E-01  5.309E-01      62 A        49 A        36 A   
   1.80 keV   2.143E-01  5.358E-01      65 A        51 A        38 A   
   2.00 keV   2.259E-01  5.444E-01      70 A        55 A        40 A   
   2.25 keV   2.396E-01  5.532E-01      77 A        60 A        43 A   
   2.50 keV   2.526E-01  5.604E-01      83 A        64 A        47 A   
   2.75 keV   2.649E-01  5.663E-01      90 A        68 A        50 A   
   3.00 keV   2.767E-01  5.711E-01      96 A        72 A        53 A   
   3.25 keV   2.880E-01  5.749E-01     103 A        76 A        56 A   
   3.50 keV   2.989E-01  5.781E-01     109 A        80 A        59 A   
   3.75 keV   3.094E-01  5.806E-01     115 A        84 A        62 A   
   4.00 keV   3.195E-01  5.826E-01     122 A        88 A        64 A   
   4.50 keV   3.389E-01  5.853E-01     134 A        95 A        70 A   
