 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/163Re_in_si.txt

 Ion = Rhenium      [75] , Mass = 162.9721 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhenium      [75] , Mass = 162.9721 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.058E-01  1.999E+00      40 A        12 A         9 A   
   1.10 keV   2.158E-01  2.103E+00      41 A        13 A         9 A   
   1.20 keV   2.254E-01  2.202E+00      43 A        13 A        10 A   
   1.30 keV   2.346E-01  2.297E+00      44 A        14 A        10 A   
   1.40 keV   2.435E-01  2.387E+00      46 A        14 A        10 A   
   1.50 keV   2.520E-01  2.474E+00      47 A        15 A        11 A   
   1.60 keV   2.603E-01  2.557E+00      48 A        15 A        11 A   
   1.70 keV   2.683E-01  2.638E+00      50 A        15 A        11 A   
   1.80 keV   2.761E-01  2.715E+00      51 A        16 A        11 A   
   2.00 keV   2.910E-01  2.863E+00      53 A        17 A        12 A   
   2.25 keV   3.087E-01  3.035E+00      56 A        17 A        12 A   
   2.50 keV   3.254E-01  3.196E+00      59 A        18 A        13 A   
   2.75 keV   3.413E-01  3.347E+00      61 A        19 A        14 A   
   3.00 keV   3.564E-01  3.489E+00      64 A        20 A        14 A   
   3.25 keV   3.710E-01  3.624E+00      66 A        20 A        15 A   
   3.50 keV   3.850E-01  3.752E+00      68 A        21 A        15 A   
   3.75 keV   3.985E-01  3.874E+00      70 A        21 A        15 A   
   4.00 keV   4.116E-01  3.990E+00      73 A        22 A        16 A   
   4.50 keV   4.365E-01  4.209E+00      77 A        23 A        17 A   
