 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/180Ta_in_si.txt

 Ion = Tantalum     [73] , Mass = 179.9475 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tantalum     [73] , Mass = 179.9475 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.200E-01  1.923E+00      44 A        14 A        10 A   
   1.10 keV   1.259E-01  2.024E+00      46 A        14 A        10 A   
   1.20 keV   1.314E-01  2.120E+00      47 A        15 A        10 A   
   1.30 keV   1.368E-01  2.211E+00      49 A        15 A        11 A   
   1.40 keV   1.420E-01  2.299E+00      50 A        15 A        11 A   
   1.50 keV   1.470E-01  2.383E+00      52 A        16 A        11 A   
   1.60 keV   1.518E-01  2.464E+00      53 A        16 A        12 A   
   1.70 keV   1.565E-01  2.541E+00      55 A        17 A        12 A   
   1.80 keV   1.610E-01  2.617E+00      56 A        17 A        12 A   
   2.00 keV   1.697E-01  2.760E+00      58 A        18 A        13 A   
   2.25 keV   1.800E-01  2.927E+00      62 A        19 A        13 A   
   2.50 keV   1.897E-01  3.083E+00      64 A        19 A        14 A   
   2.75 keV   1.990E-01  3.230E+00      67 A        20 A        15 A   
   3.00 keV   2.078E-01  3.368E+00      70 A        21 A        15 A   
   3.25 keV   2.163E-01  3.499E+00      72 A        22 A        16 A   
   3.50 keV   2.245E-01  3.623E+00      75 A        22 A        16 A   
   3.75 keV   2.324E-01  3.742E+00      77 A        23 A        16 A   
   4.00 keV   2.400E-01  3.856E+00      79 A        24 A        17 A   
   4.50 keV   2.545E-01  4.069E+00      84 A        25 A        18 A   
