 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/191Os_in_si.txt

 Ion = Osmium       [76] , Mass = 190.9609 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Osmium       [76] , Mass = 190.9609 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.897E-01  1.904E+00      43 A        13 A         9 A   
   1.10 keV   1.989E-01  2.004E+00      45 A        13 A         9 A   
   1.20 keV   2.078E-01  2.100E+00      47 A        14 A        10 A   
   1.30 keV   2.163E-01  2.192E+00      48 A        14 A        10 A   
   1.40 keV   2.244E-01  2.279E+00      50 A        14 A        10 A   
   1.50 keV   2.323E-01  2.363E+00      51 A        15 A        11 A   
   1.60 keV   2.399E-01  2.444E+00      53 A        15 A        11 A   
   1.70 keV   2.473E-01  2.522E+00      54 A        16 A        11 A   
   1.80 keV   2.545E-01  2.598E+00      55 A        16 A        11 A   
   2.00 keV   2.682E-01  2.742E+00      58 A        17 A        12 A   
   2.25 keV   2.845E-01  2.910E+00      61 A        18 A        13 A   
   2.50 keV   2.999E-01  3.067E+00      64 A        18 A        13 A   
   2.75 keV   3.145E-01  3.214E+00      66 A        19 A        14 A   
   3.00 keV   3.285E-01  3.353E+00      69 A        20 A        14 A   
   3.25 keV   3.419E-01  3.485E+00      71 A        20 A        15 A   
   3.50 keV   3.548E-01  3.611E+00      74 A        21 A        15 A   
   3.75 keV   3.673E-01  3.731E+00      76 A        22 A        15 A   
   4.00 keV   3.793E-01  3.846E+00      78 A        22 A        16 A   
   4.50 keV   4.024E-01  4.061E+00      83 A        23 A        17 A   
